Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Story,PRODUCT-FE-001,[Product FE] Migrate `getProduct` documents in product-queries [PRODUCT-FE-001],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,product,query-migration,,PRODUCT-BE-B-01 PLATFORM-FE-003 PLATFORM-FE-004,To Do,"* *Type:* Query migration · *Impact:* High · *Domain:* product
* *Depends on:* PRODUCT-BE-B-01, PLATFORM-FE-003, PLATFORM-FE-004
* *Operations:* {{getProduct}}

* *Business objective:*
** Product detail, scaffolding, files and team screens read from the federated graph with unchanged behaviour.
* *Technical objective:*
** Re-point every {{getProduct}}-rooted document in {{product-queries}} (detail, scaffolding, workspaces, status-update info, files/components, teams) to federated shapes.
* *Background / current implementation:*
** 10+ documents in {{src/libs/product-queries/src/queries/ProductQueries.tsx}}, {{ProductFilesQueries.tsx}}, {{TeamTabQueries.ts}}, {{WorkspaceFilesQueries.ts}} share the {{getProduct}} resolver; widest selections in the estate ({{getProductScaffolding}} 131 fields).
* *Required changes:*
** Fragment re-targeting (with PLATFORM-FE-004); nested-entity selections for {{createdBy}}/{{brand}}/{{department}}.
** TypeScript model and hook generic updates; mock/snapshot regeneration.
** Attachment/discussion sub-selections stay entity-stitched — no document split.

*Acceptance Criteria*

1. Product detail, files, teams and scaffolding screens render identically under the flag.
2. No selection requests a field absent from the federated {{Product}} type.
3. Cache normalizes one {{Product}} entity across all migrated documents.

*Testing*

* Side-by-side JSON diff of legacy vs federated responses per document; full product-screen integration suite under the flag.

* *Risk:* High — largest regression surface in phase 1.
* *Estimated effort:* 10–15 days"
Story,PRODUCT-FE-002,[Product FE] Migrate shared-library `getProduct` consumers [PRODUCT-FE-002],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,query-migration,,PRODUCT-BE-B-01 PRODUCT-BE-B-04 PRODUCT-FE-001,To Do,"* *Type:* Query migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-B-01, PRODUCT-BE-B-04, PRODUCT-FE-001
* *Operations:* {{getProduct}}, {{getProductVersions}}

* *Business objective:*
** Breadcrumbs, discussion panes, admin views and packaging DPCI lookups keep working after product cutover.
* *Technical objective:*
** Migrate {{getProduct}}-rooted documents outside {{product-queries}}: {{spark-legacy}} breadcrumbs, {{core-discussions}}/{{LegacyDiscussionQueries}} team reads, {{spark-ui-admin}} ({{getProductById}}, {{getProductVersions}}), {{product-packaging}} ({{getDpciInfo}}).
* *Background / current implementation:*
** 8 documents across 4 libraries duplicate slim {{getProduct}} selections.
* *Required changes:*
** Same re-pointing pattern as PRODUCT-FE-001; consolidate duplicate slim selections onto a shared base fragment where identical.

*Acceptance Criteria*

1. Breadcrumb, discussion team pane, admin product view and DPCI lookup render identically under the flag.
2. Duplicate selections reduced to shared fragments where shapes match.

*Testing*

* Component tests per consumer library; snapshot regeneration.

* *Risk:* Medium — many small consumers, low individual complexity.
* *Estimated effort:* 5–8 days"
Story,PRODUCT-FE-003,[Product FE] Migrate product list and bulk reads [PRODUCT-FE-003],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,product,query-migration,,PRODUCT-BE-S-02 PRODUCT-BE-B-02 PLATFORM-FE-003,To Do,"* *Type:* Query migration · *Impact:* High · *Domain:* product
* *Depends on:* PRODUCT-BE-S-02, PRODUCT-BE-B-02, PLATFORM-FE-003
* *Operations:* {{getProducts}}, {{getProductsByIds}}

* *Business objective:*
** Workspace product listings and bulk flows read from the federated graph without pagination or filter regressions.
* *Technical objective:*
** Migrate {{getProducts}} (list/search, 88-field document) and {{getProductsByIds}} (bulk discussion data, file metadata) documents.
* *Background / current implementation:*
** {{product-queries/ProductQueries.tsx}}, {{product-common/WorkspaceProductsQueries.ts}}, {{workspaces/BulkDiscussionQueries.ts}}, {{spark-legacy}} vendor merge.
* *Required changes:*
** Await the search-cutover decision carried by PRODUCT-BE-S-02 (elastic read-hub) — list shapes must not be migrated twice.
** {{getBulkDiscussionData}} also selects an access-control root (out of scope): keep that document on the legacy gateway until the access-control phase, or split (decision recorded in-story at grooming).

*Acceptance Criteria*

1. List pagination, sorting and filters behave identically under the flag.
2. The cross-domain document's routing decision is implemented and documented.

*Testing*

* List-screen integration tests with pagination fixtures; bulk-flow smoke tests.

* *Risk:* High — blocked by the search spike outcome.
* *Estimated effort:* 8–12 days"
Story,PRODUCT-FE-004,[Product FE] Migrate product status and workspace-context reads [PRODUCT-FE-004],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,query-migration,,PRODUCT-BE-B-03 PLATFORM-FE-003,To Do,"* *Type:* Query migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-B-03, PLATFORM-FE-003
* *Operations:* {{getProductStatus}}

* *Business objective:*
** Status chips, workspace metrics and connected-component status views stay accurate per workspace.
* *Technical objective:*
** Migrate the 4 {{getProductStatus}}-rooted documents (form data, status-update info, connected components, workspace metrics report count).
* *Background / current implementation:*
** {{getFormData}} (132 fields, 5 root fields) is the widest multi-root document in the estate; also selects a tags root (out of scope).
* *Required changes:*
** Migrate product roots; hold {{getFormData}} on the legacy gateway until its tags root migrates, or split into two documents (per [07-network-call-analysis.md §2.1](./07-network-call-analysis.md)).
** Workspace-filter arguments ({{workspaceIdFilter}}, {{partnerIdFilter}}) unchanged — verify against federated {{ProductStatus}}.

*Acceptance Criteria*

1. Status values match legacy per workspace/partner filter combination.
2. {{getFormData}} routing decision implemented and documented.

*Testing*

* Fixture matrix across workspace/partner filters; form-screen integration test.

* *Risk:* Medium.
* *Estimated effort:* 5–8 days"
Story,PRODUCT-FE-005,[Product FE] Migrate template library and categories reads [PRODUCT-FE-005],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,query-migration,,PRODUCT-BE-C-02 PRODUCT-BE-C-03 PLATFORM-FE-004,To Do,"* *Type:* Query migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-C-02, PRODUCT-BE-C-03, PLATFORM-FE-004
* *Operations:* {{getProductTemplates}}, {{getCategories}}

* *Business objective:*
** Template library browsing and template-driven creation keep working, including the claim/measurement/size template composition.
* *Technical objective:*
** Migrate {{getProductTemplates}} (3 documents, one selecting 208 fields via 12 fragments) and {{getCategories}} (3 documents).
* *Background / current implementation:*
** {{spark-legacy/templateLibrary/ProductTemplateQueries.tsx}}, {{claims/ClaimQueries.ts}}, {{product-common/WorkspaceProductsQueries.ts}}.
** The wide template document embeds fragments defined outside the inventoried libraries ({{sizeTemplateFragmentWithRows}}, {{measurementTemplateFragment}}) — locate and inventory them during implementation.
* *Required changes:*
** Fragment re-target + document re-point; close the fragment inventory gap.

*Acceptance Criteria*

1. Template library lists, previews and clone-from-template flows render identically.
2. The two externally defined fragments are located, inventoried and migrated.

*Testing*

* Template library integration suite; clone-flow smoke test.

* *Risk:* Medium — widest fragment composition in phase 1.
* *Estimated effort:* 5–8 days"
Story,PRODUCT-FE-006,[Product FE] Migrate product rules administration [PRODUCT-FE-006],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,query-+-mutation-migration,,PRODUCT-BE-B-07 PRODUCT-BE-B-08 PRODUCT-BE-B-09 PRODUCT-BE-B-10 PRODUCT-BE-B-11 PRODUCT-BE-C-05 PRODUCT-BE-D-15 PRODUCT-BE-D-16 PRODUCT-BE-D-17,To Do,"* *Type:* Query + mutation migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-B-07, PRODUCT-BE-B-08, PRODUCT-BE-B-09, PRODUCT-BE-B-10, PRODUCT-BE-B-11, PRODUCT-BE-C-05, PRODUCT-BE-D-15, PRODUCT-BE-D-16, PRODUCT-BE-D-17
* *Operations:* {{getProductRules}}, {{getProductRulesById}}, {{getAllAvailableRules}}, {{getProductDeptRules}}, {{getProductBPRules}}, {{searchProductRules}}, {{addProductRule}}, {{updateProductRule}}, {{deleteProductRule}}

* *Business objective:*
** Rules administration (admin console) is fully functional on the federated graph.
* *Technical objective:*
** Migrate the 9 rules operations in {{spark-legacy/routes/admin/routes/rules/graphql/AdminRulesQueries.ts}} as one vertical slice.
* *Background / current implementation:*
** Self-contained admin flow; shared {{PRODUCT_RULES_FIELDS_FRAGMENT}}.
** {{SPARK_ProductRules.businessPartners}} is deprecated (""use rule attribute"") and still selected.
* *Required changes:*
** Replace the deprecated {{businessPartners}} selection with the rule-attribute shape before cutover.
** Re-point all 9 documents together (single flag scope).

*Acceptance Criteria*

1. Rule list, search, create, update and delete work end-to-end under the flag.
2. No selection references {{businessPartners}} on the rules type.

*Testing*

* Admin rules CRUD integration test; search fixture tests.

* *Risk:* Low — isolated admin surface.
* *Estimated effort:* 4–6 days"
Story,PRODUCT-FE-007,[Product FE] Migrate simple product mutations [PRODUCT-FE-007],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,mutation-migration,,PRODUCT-BE-D-01 PRODUCT-BE-D-02 PRODUCT-BE-D-03 PRODUCT-BE-D-04 PRODUCT-BE-D-05 PRODUCT-BE-D-10 PRODUCT-BE-D-13 PRODUCT-BE-D-14,To Do,"* *Type:* Mutation migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-D-01, PRODUCT-BE-D-02, PRODUCT-BE-D-03, PRODUCT-BE-D-04, PRODUCT-BE-D-05, PRODUCT-BE-D-10, PRODUCT-BE-D-13, PRODUCT-BE-D-14
* *Operations:* {{addProduct}}, {{addProducts}}, {{updateProduct}}, {{bulkUpdateProducts}}, {{carryForwardProduct}}, {{updateViewToggle}}, {{linkProduct}}, {{unlinkProduct}}

* *Business objective:*
** Product create, edit, bulk-edit, carry-forward and link flows write through the federated graph.
* *Technical objective:*
** Migrate the 8 single-step product mutations and their cache updates.
* *Background / current implementation:*
** Spread across {{product-queries}}, {{product-common}}, {{spark-legacy}}; several rely on {{refetchQueries}} after thin responses.
* *Required changes:*
** Input type renames ({{SPARK_*Input}} → federated inputs); response selections aligned to returned entities.
** Replace blanket {{refetchQueries}} with {{update}}-function cache writes where the mutation returns the entity (per [07-network-call-analysis.md §2.3](./07-network-call-analysis.md)).

*Acceptance Criteria*

1. Each flow completes and the UI reflects the write without a manual refresh.
2. No migrated mutation triggers a full-document refetch that its response payload makes redundant.

*Testing*

* Mutation unit tests with cache assertions; create/edit/link E2E happy paths.

* *Risk:* Medium.
* *Estimated effort:* 6–10 days"
Story,PRODUCT-FE-008,[Product FE] Migrate team and partner assignment mutations [PRODUCT-FE-008],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,mutation-migration,,PRODUCT-BE-D-06 PRODUCT-BE-D-07 PRODUCT-BE-D-12 PRODUCT-FE-001,To Do,"* *Type:* Mutation migration · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-D-06, PRODUCT-BE-D-07, PRODUCT-BE-D-12, PRODUCT-FE-001
* *Operations:* {{addTeamsToProduct}}, {{addBusinessPartnersToProductWithType}}, {{updateProductTeamsWorkspaceContext}}

* *Business objective:*
** Team-tab management (add teams/partners, workspace context) writes through the federated graph.
* *Technical objective:*
** Migrate the 3 team/partner mutations in {{product-queries/TeamTabQueries.ts}} with their team-tab read dependencies.
* *Background / current implementation:*
** Mutations return slim payloads; team tab refetches {{getProductWithTeams}} after each write.
* *Required changes:*
** Align response selections with federated team entities ({{TeamV2.teamId}} key).
** Cache write on mutation response; keep one guarded refetch only where the payload is insufficient.

*Acceptance Criteria*

1. Add-team, add-partner and workspace-context flows work under the flag.
2. Team tab updates without a full refetch where the response carries the change.

*Testing*

* Team-tab integration suite; cache assertion tests.

* *Risk:* Medium.
* *Estimated effort:* 4–6 days"
Story,PRODUCT-FE-009,[Product FE] Migrate partner drop/undrop orchestration [PRODUCT-FE-009],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,product,mutation-migration-(complex),,PRODUCT-BE-S-03 PRODUCT-BE-D-09 PLATFORM-FE-003,To Do,"* *Type:* Mutation migration (complex) · *Impact:* High · *Domain:* product
* *Depends on:* PRODUCT-BE-S-03, PRODUCT-BE-D-09, PLATFORM-FE-003
* *Operations:* {{productBusinessPartnerActions}}, {{updateBusinessPartnerStatuses}}

* *Business objective:*
** Partner drop/undrop keeps its business guarantees (status cascades, not-removable rules) on the federated graph.
* *Technical objective:*
** Migrate the orchestrated partner-action mutations once the backend orchestration design lands (ADR-012 — 🟠 draft, ratification pending; not-removable aggregation per ADR-016 — 🟠 draft).
* *Background / current implementation:*
** {{workspaces/workspaceMutations.ts}} and {{product-common/WorkspaceProductsQueries.ts}}; today's dispatcher has un-awaited promise chains backend-side — response timing is unreliable and the UI compensates with refetches.
* *Required changes:*
** Adopt the ratified mutation contract (single orchestrated mutation vs saga-status payload).
** Explicit partial-failure UI: per-partner success/failure rendering instead of all-or-nothing toasts.
** Remove compensating refetch logic tied to legacy timing behaviour.

*Acceptance Criteria*

1. Drop and undrop flows match the ratified contract, including partial-failure display.
2. Not-removable/undroppable partners are blocked client-side per the aggregated flags returned by the backend.

*Testing*

* Contract tests against the new mutation; E2E drop/undrop with induced partial failure.

* *Risk:* High — blocked on two draft ADR ratifications.
* *Estimated effort:* 8–12 days"
Story,PRODUCT-FE-010,[Product FE] Migrate TechPack count queries (facade-then-federate) [PRODUCT-FE-010],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,product,query-migration-(staged),,PRODUCT-BE-E-03 PRODUCT-BE-E-04,To Do,"* *Type:* Query migration (staged) · *Impact:* Medium · *Domain:* product
* *Depends on:* PRODUCT-BE-E-03, PRODUCT-BE-E-04
* *Operations:* {{getProductTechPackCountV1}}, {{getProductTechPackBulkCountV1}}

* *Business objective:*
** TechPack readiness counts remain correct on product list and detail screens through both migration steps.
* *Technical objective:*
** Step 1 (facade): keep the current document shapes, re-point to the router (facade preserves the contract — ADR-015 Option B, 🟠 draft; facade-then-federate).
** Step 2 (federate): replace the dedicated count queries with count fields selected on {{Product}} in existing documents.
* *Background / current implementation:*
** {{product-queries/ProductQueries.tsx}} and {{product-common/WorkspaceProductsQueries.ts}}; the backend aggregates 7 sequential elastic queries per count.
* *Required changes:*
** Step 1 is endpoint-only; Step 2 deletes 2 documents and extends {{getProduct}}/{{getProducts}} selections.

*Acceptance Criteria*

1. Counts identical to legacy in step 1 (facade parity check).
2. Step 2 removes the standalone count round trips on the product list screen.

*Testing*

* Parity fixtures step 1; screen-level request-count assertion step 2.

* *Risk:* Medium — two-step delivery, second step gated on federation of the counts.
* *Estimated effort:* 4–6 days (step 1) + 4–6 days (step 2)"
