Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Claims → claims DGS migration,Claims → claims DGS migration,,,,,dgs-migration,claims,epic,,Epic for the claims domain migration to the plm-product DGS.
Story,SPARK-CLM-A01,SPARK-CLM-A01 · Schema skeleton + DateTime scalar,,Claims → claims DGS migration,A,Low,2,dgs-migration,claims,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Claims.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`.
**Acceptance:** 1. `./gradlew generateJava` passes. 2. `DateTime` round-trips. **Tests:** ☐ compiles ☐ scalar serde."
Story,SPARK-CLM-A02,SPARK-CLM-A02 · Owned types + inputs,,Claims → claims DGS migration,A,Medium,3,dgs-migration,claims,schema,SPARK-CLM-A01,"**Target:** `Claims` (**`@key(fields:""humanId"")`** — SDL has no `id`), the 7 value types, the ~9 inputs,
`@shareable CodeDescription` — per [03-schema.graphql](./03-schema.graphql). **Note:** `workspaceContext`
is `[ID]` on create but `PartialWorkspaceAssociationsInput` on update (preserve). **Acceptance:** 1. all types+inputs present; `@key=humanId`; nullability matches SDL. 2. validates. **Tests:** ☐ validates ☐ entity stub."
Story,SPARK-CLM-A03,SPARK-CLM-A03 · External stubs (Product + platform + sibling DGS),,Claims → claims DGS migration,A,Low,2,dgs-migration,claims,schema,SPARK-CLM-A01,"**Target:** `@extends @external` stubs — `Product`, `WorkspaceV2`, `UserProfileAttributes`,
`UserGroup_Participants`, `AccessControl`, `ResourcePermissions`, `ProductComponentStatus`, `TeamPaged`,
`VMM_BusinessPartner`. (All cross-subgraph — claims is its own DGS.) **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-CLM-A04,SPARK-CLM-A04 · ClaimService Kotlin port,,Claims → claims DGS migration,A,Medium,3,dgs-migration,claims,service,SPARK-CLM-A01,"**Current Behaviour (Phase 2 §Service):** 13 REST methods on the claim base (2 unused: versions).
**Target:** Kotlin service; preserve create/update throw-on-error and the `bulkUpdateClaim` `status_code`
contract; **fix** `bulkUpdateClaim` to camelCase the response (source snake-cases it). **Acceptance:** 1. used methods present (POST, GET listing, GET /search, PUT /{humanId}, PUT /bulk-update, GET /communication-channels, GET/POST /export, GET /search/guest_facing_claim, PUT /{id}/lock|unlock, GET /claims-about). 2. bulk response camelCased. **Tests:** ☐ endpoint build ☐ bulk transform ☐ error contracts.

---

### Phase B — Core Reads"
Story,SPARK-CLM-B01,SPARK-CLM-B01 · getClaims,,Claims → claims DGS migration,B,Low,2,dgs-migration,claims,query,"SPARK-CLM-A02, SPARK-CLM-A04","**Current Behaviour (Q1):** (own) `claim.getClaims.load({parentHumanId, claimHumanIds, partnerIds})` `GET {base}` (filtered) → camelCase. **No ACL token.** **Target:** `@DgsQuery → [Claims]`. **Acceptance:** 1. filters by the 3 args. **Tests:** ☐ happy ☐ empty ☐ integration."
Story,SPARK-CLM-B02,SPARK-CLM-B02 · getClaimByIds,,Claims → claims DGS migration,B,Low,2,dgs-migration,claims,query,"SPARK-CLM-A02, SPARK-CLM-A04",**Current Behaviour (Q2):** (ACL context) token → `GET {base}/search?claimIds={csv}`. **Target:** `@DgsQuery → [Claims]`. **Acceptance:** 1. returns claims for ids. **Tests:** ☐ happy ☐ empty.
Story,SPARK-CLM-B03,SPARK-CLM-B03 · getCommunicationChannels (cacheable),,Claims → claims DGS migration,B,Low,2,dgs-migration,claims,query,SPARK-CLM-A04,**Current Behaviour (Q3):** (own) `GET {base}/communication-channels`. **Target:** `@DgsQuery` → `@Cacheable` → `[CommunicationChannel]`. **Acceptance:** 1. returns channels; cached. **Tests:** ☐ list ☐ cache hit.
Story,SPARK-CLM-B04,SPARK-CLM-B04 · getAllClaimsAbout (cacheable),,Claims → claims DGS migration,B,Low,2,dgs-migration,claims,query,SPARK-CLM-A04,**Current Behaviour (Q4):** (own) `GET {base}/claims-about`. **Target:** `@DgsQuery` → `@Cacheable` → `[CodeDescription]`. **Acceptance:** 1. returns list; cached. **Tests:** ☐ list ☐ cache hit.
Story,SPARK-CLM-B05,SPARK-CLM-B05 · getClaimExports,,Claims → claims DGS migration,B,Low,2,dgs-migration,claims,query,SPARK-CLM-A04,"**Current Behaviour (Q5):** (own) `GET {base}/export`. **Target:** `@DgsQuery → [ClaimExport]`. **Acceptance:** 1. returns export records. **Tests:** ☐ list.

---

### Phase C — Search & Listing"
Story,SPARK-CLM-C01,SPARK-CLM-C01 · searchGuestFacing,,Claims → claims DGS migration,C,Medium,3,dgs-migration,claims,query,SPARK-CLM-A04,**Current Behaviour (Q6):** (own) `GET {base}/search/guest_facing_claim?{qs(queryParam)}` → camelCase. **Target:** `@DgsQuery → [Guest_Facing]`. **Acceptance:** 1. query-string built from `queryParam`. **Tests:** ☐ search ☐ empty.
Story,SPARK-CLM-C02,SPARK-CLM-C02 · getClaimsElastic,,Claims → claims DGS migration,C,Medium,3,dgs-migration,claims,query,SPARK-CLM-A04,"**Current Behaviour (Q7):** (🔴 search) `search.getClaimsElastic.load({ q:""parentId: {parentHumanId}"" })`. **EXT:** 🔴 search. **Target:** `@DgsQuery → [Claims]` via the search subgraph/client. **Acceptance:** 1. `parentId:` elastic query built. **Tests:** ☐ query build ☐ parity.

---

### Phase D — Mutations (simple)"
Story,SPARK-CLM-D01,SPARK-CLM-D01 · createClaim (throws on validationErrors),,Claims → claims DGS migration,D,Medium,3,dgs-migration,claims,mutation,SPARK-CLM-A04,**Current Behaviour (M1):** (own) `POST {base}` (snake_case). **If `validationErrors`/`message` → throw.** **Target:** `@DgsMutation → [Claims]`; port throw-on-error. **Acceptance:** 1. creates claim(s). 2. validation error → exception. **Tests:** ☐ create ☐ validation-error→throw.
Story,SPARK-CLM-D02,SPARK-CLM-D02 · bulkUpdateClaim (status_code contract; fix snake-case response),,Claims → claims DGS migration,D,Medium,3,dgs-migration,claims,mutation,SPARK-CLM-A04,"**Current Behaviour (M3):** (own) `PUT {base}/bulk-update`. **Error contract:** result is array → return; `status_code>400` → throw; else throw ""unhandled"". **Latent:** source snake-cases the response — **fix to camelCase**. **Target:** `@DgsMutation → [Claims]`. **Acceptance:** 1. array result returned (camelCase). 2. error status → exception. **Tests:** ☐ bulk ☐ error status ☐ camelCase."
Story,SPARK-CLM-D03,SPARK-CLM-D03 · requestClaimExport,,Claims → claims DGS migration,D,Low,2,dgs-migration,claims,mutation,SPARK-CLM-A04,**Current Behaviour (M4):** (own) `POST {base}/export` → `response.request_id`. **Target:** `@DgsMutation → String`. **Acceptance:** 1. returns the request id. **Tests:** ☐ request.
Story,SPARK-CLM-D04,SPARK-CLM-D04 · lockClaim,,Claims → claims DGS migration,D,Low,2,dgs-migration,claims,mutation,SPARK-CLM-A04,**Current Behaviour (M5):** (ACL context) token → `PUT {base}/{claimId}/lock`. **Target:** `@DgsMutation → Claims`. **Acceptance:** 1. locks the claim. **Tests:** ☐ lock.
Story,SPARK-CLM-D05,SPARK-CLM-D05 · unlockClaim,,Claims → claims DGS migration,D,Low,2,dgs-migration,claims,mutation,SPARK-CLM-A04,"**Current Behaviour (M6):** (ACL context) token → `PUT {base}/{claimId}/unlock`. **Target:** `@DgsMutation → Claims`. **Acceptance:** 1. unlocks the claim. **Tests:** ☐ unlock.

---

### Phase E — Complex Operations"
Story,SPARK-CLM-E01,"SPARK-CLM-E01 · updateClaim (proxy ACL + workspace + body, non-atomic)",,Claims → claims DGS migration,E,High,5,dgs-migration,claims,mutation,SPARK-CLM-A04,"**As a** DGS engineer **I want** the multi-step claim update with a failure strategy **so that** workspace
and body changes stay consistent.
**Current Behaviour (M2):** 1) `getUserPermissionsJWTByProxy({id:humanId, proxyIds:[parentId],
basePermissions:true})` (proxy/external ACL path — context only); 2) if `workspaceContext.{add,remove}`
non-empty → `workspaceAssociationHelper(CLAIM, humanId, add, remove)`; 3) `PUT {base}/{humanId}`;
4) **throw on `validationErrors`/`message`**. No rollback.
**EXT:** 🟡 workspaceV2. **Target:** ordered steps + chosen failure strategy (**PO decision**). The proxy
ACL is **context-only** (note it; build nothing). **Acceptance:** 1. workspace assoc runs when present. 2. body update + throw-on-error. 3. partial-failure strategy. **Tests:** ☐ body-only ☐ +workspace ☐ validation-error→throw ☐ partial-failure ☐ parity.

---

### Phase F — Federation Contributions (BLOCKED-BY product)"
