Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Search → plm-elastic-search DGS migration,Search → plm-elastic-search DGS migration,,,,,dgs-migration,search,epic,,Epic for the search domain migration to the plm-product DGS.
Story,SPARK-SRCH-A01,SPARK-SRCH-A01 · Schema skeleton + DateTime/JSON scalars,,Search → plm-elastic-search DGS migration,A,Low,2,dgs-migration,search,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Search.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, `scalar JSON`, empty `extend type Query`/`Mutation`. **Acceptance:** 1. `generateJava` passes. 2. scalars round-trip. **Tests:** ☐ compiles ☐ serde."
Story,SPARK-SRCH-A02,SPARK-SRCH-A02 · Owned result types + inputs (~50 types — the big surface),,Search → plm-elastic-search DGS migration,A,High,5,dgs-migration,search,schema,SPARK-SRCH-A01,"**Target:** all ~50 owned result/value types (`SearchAttachment`, `Material`, `SearchCombination`,
`SearchPalette`, `SearchWatchlist`, `SearchComponent`, paged wrappers, report/group-by/suggestion shapes) +
~10 inputs per [03-schema.graphql](./03-schema.graphql). **Expand the `JSON` placeholders** to the concrete
SDL types. `@key` on the enriched result entities; `@shareable` on `Paging`/`CodeDescription`/etc. **This is
the single biggest task in the domain.** **Acceptance:** 1. every SDL type present; no stray `JSON` where the SDL has a concrete type. 2. validates. **Tests:** ☐ validates ☐ entity stubs."
Story,SPARK-SRCH-A03,SPARK-SRCH-A03 · External stubs (platform + other DGS),,Search → plm-elastic-search DGS migration,A,Medium,3,dgs-migration,search,schema,SPARK-SRCH-A01,"**Target:** `@extends @external` stubs for `Product(sPaged)`, `WorkspaceV2`, `Bom`, `SampleV2`, `Attachment`,
`UserProfileAttributes`, `UserGroup_Participants`, `Tag`, `TeamPaged`, template paged wrappers, `VMM_*`, `IG_*`. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-SRCH-A04,"SPARK-SRCH-A04 · SearchService port (~80 elastic builders, plm-elastic-search)",,Search → plm-elastic-search DGS migration,A,High,5,dgs-migration,search,service,SPARK-SRCH-A01,"**Current Behaviour (Phase 2 §Service):** ~80 elastic query-builder methods on the `plm-elastic-search` base.
**Target:** split into grouped services (`AttachmentSearch`, `MaterialSearch`, `SampleSearch`, `TeamSearch`,
`TemplateSearch`, `ProductSearch`, `SuggestionSearch`, `ReportSearch`); preserve each query-string/body shape
and `deepToCamelCase`. **Acceptance:** 1. each family's elastic query shape preserved. 2. proxy reads accept a token. **Tests:** ☐ query build per family ☐ camelCase.

---

### Phase B — Core Reads (by-id / counts)"
Story,SPARK-SRCH-B01,SPARK-SRCH-B01 · searchMaterialsById,,Search → plm-elastic-search DGS migration,B,Low,2,dgs-migration,search,query,"SPARK-SRCH-A02, SPARK-SRCH-A04",**Current Behaviour:** (own) `getMaterialByIds.load(id)`. **Target:** `@DgsQuery → Material`. **Acceptance:** 1. returns material; miss→null. **Tests:** ☐ happy ☐ miss.
Story,SPARK-SRCH-B02,SPARK-SRCH-B02 · getElasticSamplesByIds,,Search → plm-elastic-search DGS migration,B,Low,2,dgs-migration,search,query,SPARK-SRCH-A04,**Current Behaviour:** (own) `getElasticSamplesByIds.load({ids})`. **Target:** `@DgsQuery → [SampleV2]`. **Acceptance:** 1. returns samples for ids. **Tests:** ☐ happy ☐ empty.
Story,SPARK-SRCH-B03,SPARK-SRCH-B03 · getAttachmentsCounts + getSampleCount,,Search → plm-elastic-search DGS migration,B,Low,2,dgs-migration,search,query,SPARK-SRCH-A04,"**Current Behaviour:** `getAttachmentsCounts(resourceIds)`; `getSampleCount(resourceId)` → `[ResourceCount]`. **Target:** `@DgsQuery`. **Acceptance:** 1. both return counts. **Tests:** ☐ attachment counts ☐ sample counts.

---

### Phase C — Search & Listing (grouped by family)"
Story,SPARK-SRCH-C01,SPARK-SRCH-C01 · searchAttachments,,Search → plm-elastic-search DGS migration,C,Medium,3,dgs-migration,search,query,SPARK-SRCH-A04,"**Current Behaviour:** (own elastic) `searchAttachments({q,parentIds,relatedIds,partnerId,asset3D,proxyIds,page,size,sort})`. **Target:** `@DgsQuery → SearchAttachmentsPaged`. **Acceptance:** 1. all params forwarded; `sort=field,dir`. **Tests:** ☐ params ☐ paging ☐ parity."
Story,SPARK-SRCH-C02,SPARK-SRCH-C02 · Material search family (searchMaterials/V2/Nested/ByProxyIds/multiRequest),,Search → plm-elastic-search DGS migration,C,High,5,dgs-migration,search,query,SPARK-SRCH-A04,"**Covers:** `searchMaterials`, `searchMaterialsV2`, `searchMaterialsNested`, `searchMaterialsByProxyIds` (ACL),
`multiRequestMaterialSearch`. **Current Behaviour:** build elastic bodies (V2 = query+sort+options+`searchArguments`
incl. RGB color criteria + nested filters) → post → `MaterialsPaged`. **Target:** one data fetcher per query over `MaterialSearch`. **Acceptance:** 1. each variant's body shape preserved (RGB/nested). 2. proxy variant tokens. **Tests:** ☐ V2 body ☐ nested ☐ proxy ☐ multiRequest."
