Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,CLAIM-BE-B-01,"(Claims) getClaims(parentHumanId, claimHumanIds, partnerIds) [CLAIM-BE-B-01]",,Federate BreakDown Product,B,XS,dgs-migration,claims,query,,,,To Do,"*Acceptance Criteria:*
1. filters by the 3 args

*Full story:* be-04-stories.md#CLAIM-BE-B-01"
Story,CLAIM-BE-B-02,(Claims) getClaimByIds(claimHumanIds) [CLAIM-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,claims,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns claims for ids

*Full story:* be-04-stories.md#CLAIM-BE-B-02"
Story,CLAIM-BE-B-03,(Claims) getCommunicationChannels (cacheable) [CLAIM-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,claims,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns channels; cached

*Full story:* be-04-stories.md#CLAIM-BE-B-03"
Story,CLAIM-BE-B-04,(Claims) getAllClaimsAbout (cacheable) [CLAIM-BE-B-04],,Federate BreakDown Product,B,XS,dgs-migration,claims,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns list; cached

*Full story:* be-04-stories.md#CLAIM-BE-B-04"
Story,CLAIM-BE-B-05,(Claims) getClaimExports [CLAIM-BE-B-05],,Federate BreakDown Product,B,XS,dgs-migration,claims,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns export records

*Full story:* be-04-stories.md#CLAIM-BE-B-05"
Story,CLAIM-BE-C-01,(Claims) searchGuestFacing(queryParam) [CLAIM-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,claims,search,,B-01,,To Do,"*Acceptance Criteria:*
1. query-string built from `queryParam`

*Full story:* be-04-stories.md#CLAIM-BE-C-01"
Story,CLAIM-BE-C-02,(Claims) getClaimsElastic(parentHumanId) [CLAIM-BE-C-02],,Federate BreakDown Product,C,M,dgs-migration,claims,search,,B-01,,To Do,"*Acceptance Criteria:*
1. `parentId:` elastic query built

*Full story:* be-04-stories.md#CLAIM-BE-C-02"
Story,CLAIM-BE-D-01,(Claims) createClaim [CLAIM-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,claims,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. creates claim(s)
2. validation error → exception

*Full story:* be-04-stories.md#CLAIM-BE-D-01"
Story,CLAIM-BE-D-02,(Claims) bulkUpdateClaim [CLAIM-BE-D-02],,Federate BreakDown Product,D,M,dgs-migration,claims,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. array result returned (camelCase)
2. error status → exception

*Full story:* be-04-stories.md#CLAIM-BE-D-02"
