Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for all 13 domains; each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,SPARK-DISC-B01,(Discussion) getDiscussionV2 (+ coreGetDiscussionV2) [SPARK-DISC-B01],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,,To Do,"*Current Behaviour:*
* (own) `GET discussions/v2?ids={id}` → `FullDiscussion`; `core*` = system context.

*Target:*
* `@DgsQuery → FullDiscussion` (two fields, shared impl).

*Acceptance Criteria:*
1. returns discussion; core uses system context"
Story,SPARK-DISC-B02,(Discussion) getDiscussionByIdsV2 [SPARK-DISC-B02],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own) `GET /v2?ids={csv}`.

*Target:*
* `@DgsQuery → [FullDiscussion]`.

*Acceptance Criteria:*
1. returns by ids"
Story,SPARK-DISC-B03,(Discussion) getDiscussionsCount [SPARK-DISC-B03],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own) count by `resourceId`/`resourceType` → `[ResourceCount]`.

*Target:*
* `@DgsQuery`.

*Acceptance Criteria:*
1. returns per-resource counts"
Story,SPARK-DISC-B04,(Discussion) getDiscussionOnResource [SPARK-DISC-B04],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own) discussions for a resource.

*Target:*
* `@DgsQuery → [Discussion]`.

*Acceptance Criteria:*
1. returns discussions"
Story,SPARK-DISC-B05,(Discussion) getDiscussionsByThread [SPARK-DISC-B05],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own) discussions in a thread.

*Target:*
* `@DgsQuery → [Discussion]`.

*Acceptance Criteria:*
1. returns thread discussions"
Story,SPARK-DISC-B06,(Discussion) getUnsentDiscussions [SPARK-DISC-B06],,Federate BreakDown Product,B,XS,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own) `GET /api/admin/unsent`.

*Target:*
* `@DgsQuery → UnsentDiscussions`.

*Acceptance Criteria:*
1. returns unsent"
Story,SPARK-DISC-B07,(Discussion) getVersionedDiscussions (+ threads) [SPARK-DISC-B07],,Federate BreakDown Product,B,M,dgs-migration,discussion,query,,B01,To Do,"*Current Behaviour:*
* (own V3) version history.

*Target:*
* `@DgsQuery`.

*Acceptance Criteria:*
1. both return version history"
Story,SPARK-DISC-C01,(Discussion) getDiscussionsV2 (elastic) [SPARK-DISC-C01],,Federate BreakDown Product,C,M,dgs-migration,discussion,search,,B01,To Do,"*Current Behaviour:*
* (🔴 search) elastic discussions by `resourceId`/`resourceType` (partner-filtered) → `DiscussionElastic`.

*Target:*
* `@DgsQuery`.

*Acceptance Criteria:*
1. elastic query + partner filter"
Story,SPARK-DISC-C02,(Discussion) getSampleDiscussion [SPARK-DISC-C02],,Federate BreakDown Product,C,M,dgs-migration,discussion,search,,B01,To Do,"*Current Behaviour:*
* (own) sample-scoped discussions.

*Target:*
* `@DgsQuery → [Discussion]`.

*Acceptance Criteria:*
1. returns sample discussions"
