Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for all 13 domains; each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,SPARK-WS-B01,"(Workspace) getWorkspaceV2(id, metric) [SPARK-WS-B01]",,Federate BreakDown Product,B,XS,dgs-migration,workspace,query,,,To Do,"*Current Behaviour:*
* (own) `getWorkspaceByIdV2.load(id)` `GET {base}?ids={id}`.

*Target:*
* `@DgsQuery → WorkspaceV2`.

*Acceptance Criteria:*
1. returns workspace; miss→null"
Story,SPARK-WS-B02,(Workspace) getWorkspacesByIdsV2(ids) [SPARK-WS-B02],,Federate BreakDown Product,B,XS,dgs-migration,workspace,query,,B01,To Do,"*Current Behaviour:*
* (ACL) token → (own) `getWorkspacesByIdsV2(jwt).load({ids})`.

*Target:*
* `@DgsQuery → [WorkspaceV2]`.

*Acceptance Criteria:*
1. returns list for ids"
Story,SPARK-WS-B03,(Workspace) getWorkspaceTypeCount [SPARK-WS-B03],,Federate BreakDown Product,B,XS,dgs-migration,workspace,query,,B01,To Do,"*Current Behaviour:*
* (🔴 search) `getWorkspaceTypeCount({})`.

*Target:*
* `@DgsQuery → WorkspaceTypeCount`.

*Acceptance Criteria:*
1. returns products/combinations/research counts"
Story,SPARK-WS-B04,"(Workspace) findWorkspaceProductAndSampleIds(workspaceId, q, filter) [SPARK-WS-B04]",,Federate BreakDown Product,B,M,dgs-migration,workspace,query,,B01,To Do,"*Current Behaviour:*
* (🔴 product) `getWorkspaceProducts({workspaceId, filter, q, page:0, size:10000})` → map `{id:humanId, sampleIds:[sample.humanId]}`.

*Target:*
* `@DgsQuery → WorkspaceContentResult`.

*Acceptance Criteria:*
1. maps products + their sample human ids"
Story,SPARK-WS-B05,"(Workspace) findWorkspaceClaims(workspaceId, q, filter) [SPARK-WS-B05]",,Federate BreakDown Product,B,XS,dgs-migration,workspace,query,,B01,To Do,"*Current Behaviour:*
* (🔴 search) `getClaimsElastic({ q:""workspaceContext:{workspaceId}"", page:0, size:10000 })` → `.content`.

*Target:*
* `@DgsQuery → [Claims]` (federated).

*Acceptance Criteria:*
1. elastic query exact"
Story,SPARK-WS-B06,"(Workspace) getWorkspacePackagingAttachments(workspaceId, bpId) [SPARK-WS-B06]",,Federate BreakDown Product,B,M,dgs-migration,workspace,query,,B01,To Do,"*Current Behaviour:*
* env `WORKSPACE_PACKAGING_TAG_ID` (**throws if unset**) → (🔴 search) `searchAttachments({ q:""tags:{tag}[ AND security.bps:{bpId}]"", relatedIds:[workspaceId], size:500, sort:""createdAt,desc"" })` → `.content`.

*Target:*
* `@DgsQuery`; tag id from config.

*Acceptance Criteria:*
1. throws if tag config missing
2. bp filter appended when present"
Story,SPARK-WS-C01,(Workspace) getWorkspacesPagedV2(...) [SPARK-WS-C01],,Federate BreakDown Product,C,M,dgs-migration,workspace,search,,B01,To Do,"*Current Behaviour:*
* (🔴 search) `getWorkspacesPagedV2` — array params CSV-joined (except page/size); `omitBy` drops empties.

*Target:*
* `@DgsQuery → WorkspacesPagedV2`.

*Acceptance Criteria:*
1. array→CSV; empties omitted"
Story,SPARK-WS-C02,(Workspace) getWorkspacesPagedV3(...) [SPARK-WS-C02],,Federate BreakDown Product,C,M,dgs-migration,workspace,search,,B01,To Do,"*Current Behaviour:*
* (🔴 search) `getWorkspacesPagedV3` — CSV-join except `q`/`designPartnerIds`; `omitBy`.

*Target:*
* `@DgsQuery → WorkspacesPagedV3`.

*Acceptance Criteria:*
1. CSV-join rules preserved (q/designPartnerIds passthrough)"
Story,SPARK-WS-D01,(Workspace) createWorkspaceV2 [SPARK-WS-D01],,Federate BreakDown Product,D,M,dgs-migration,workspace,mutation,,B01,To Do,"*Current Behaviour:*
* default `workspaceType=103`; (own) `POST {base}` (`validateUnique`). **Throw `GraphQLError('Workspace already exists')`** if the response message starts with the dup text.

*Target:*
* `@DgsMutation → WorkspaceV2`.

*Acceptance Criteria:*
1. creates; default type
2. 2. dup → GraphQLError"
Story,SPARK-WS-D02,(Workspace) updateWorkspaceV2 [SPARK-WS-D02],,Federate BreakDown Product,D,M,dgs-migration,workspace,mutation,,B01,To Do,"*Current Behaviour:*
* (ACL) token for `workspace.id`; default type 103; (own) `PUT {base}/{id}?validateUnique=` → same dup-check throw.

*Target:*
* `@DgsMutation`.

*Acceptance Criteria:*
1. updates; dup→throw"
