Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Product → plm-product DGS migration,Product → plm-product DGS migration,,,,,dgs-migration,product,epic,,Epic for the product domain migration to the plm-product DGS.
Story,SPARK-PROD-A01,SPARK-PROD-A01 · Schema skeleton + scalars,,Product → plm-product DGS migration,A,Low,2,dgs-migration,product,schema,,"**As a** DGS engineer **I want** the `product.graphqls` skeleton + federation header + `DateTime`/`JsonNode`
scalars **so that** all later product work compiles. **Current Behaviour:** green-field (schema translated from `code/schemas/SPARK_Product.txt`).
**Target:** v2.3 `@link`, `scalar DateTime→Instant`, `scalar JsonNode`, empty `extend type Query`/`Mutation`.
**Files:** `schema/product.graphqls`, `config/ScalarConfig.kt`. **Deps:** none.
**Acceptance:** 1. `./gradlew generateJava` passes. 2. scalars round-trip. **Tests:** ☐ compiles ☐ scalar serde."
Story,SPARK-PROD-A02,SPARK-PROD-A02 · Owned types + inputs,,Product → plm-product DGS migration,A,Medium,3,dgs-migration,product,schema,SPARK-PROD-A01,"**As a** DGS engineer **I want** ~40 owned types + ~30 inputs from [03-schema.graphql](./03-schema.graphql)
**so that** resolvers/mutations have a contract. **Target:** `@key(fields:""id"")` on `Product`/`ProductRules`;
`@shareable` on `Paging`/`Pageable`/`CodeDescription`/`CodeDescriptionOrder`/`AccessV3`/`WorkspaceStatus`/
`ResourcePermissions`/`PermissionEntry`/`SpgFileLibrary`. **Deps:** A01.
**Acceptance:** 1. All owned types+inputs present. 2. Keys/shareables applied. 3. Schema validates. **Tests:** ☐ validates ☐ entity stub."
Story,SPARK-PROD-A03,SPARK-PROD-A03 · External stubs (platform + sibling),,Product → plm-product DGS migration,A,Low,2,dgs-migration,product,schema,SPARK-PROD-A01,"**Target:** 6 platform stubs (`VMM_*`, `IG_*`, `DopplerCapacityType`, `CORONA_ItemDetails`) + ~16 sibling
stubs per [03-schema.graphql §1](./03-schema.graphql). Note co-located stubs resolve internally at runtime.
**Deps:** A01. **Acceptance:** 1. all stubs compile; gateway composes. **Tests:** ☐ compiles ☐ gateway resolves a VMM stub."
Story,SPARK-PROD-A04,SPARK-PROD-A04 · Categories union @DgsTypeResolver,,Product → plm-product DGS migration,A,Medium,3,dgs-migration,product,field-resolver,"SPARK-PROD-A02, SPARK-PROD-A03","**Current Behaviour (Phase 2):** 12-case switch over `category.type`, **default → `IG_Clazz_Filter`**.
**Target:** `@DgsTypeResolver(name=""Categories"")` mirroring the 12 cases + default. **Deps:** A02, A03.
**Acceptance:** 1. all 12 known tags map correctly. 2. unknown → `IG_Clazz_Filter`. **Tests:** ☐ 12 cases ☐ default."
Story,SPARK-PROD-A05,SPARK-PROD-A05 · ResourcesCount composite-key type,,Product → plm-product DGS migration,A,Low,2,dgs-migration,product,schema,SPARK-PROD-A01,"**Target:** add the composite-key type with 11 stub fields, each commented with its owning subgraph (see
[03-schema.graphql §3](./03-schema.graphql)). Product owns the type + stub resolver; siblings extend later (Phase F).
**Deps:** A01. **Acceptance:** 1. `@key` = `productId partnerId`; context fields not in key. 2. stub fields annotated. **Tests:** ☐ compiles ☐ entity fetcher stub."
Story,SPARK-PROD-A06,SPARK-PROD-A06 · ProductService Kotlin port (42 methods),,Product → plm-product DGS migration,A,High,5,dgs-migration,product,service,SPARK-PROD-A01,"**Current Behaviour (Phase 2 §Service):** 42 REST wrappers against `v1`/`v2`, elastic, `spark_rules`, external rating.
**Target:** split into `ProductReadService`, `ProductWriteService`, `ProductElasticService`, `ProductCopyService`,
`ProductRuleService`, `ProductComponentStatusService`, `RatingClient` (Feign, external), plus internal calls for
co-located ops. Master/status reads `@Cacheable`. Preserve `getByID` priming, `linkProduct` `throwOnError`,
external-rating API-key (→ Vault). **ACL note (context):** capability-token currying is omitted (ACL ignored).
**Deps:** A01. **Acceptance:** 1. all 42 signatures present. 2. co-located methods make no outbound HTTP. 3. rating secret in config/Vault. 4. `linkProduct` throws on backend error. **Tests:** ☐ endpoint build ☐ cache hit ☐ rating parse ☐ linkProduct throws.

---

### Phase B — Core Reads (one query per story)

> Pattern: `@DgsQuery` → `ProductReadService.method`. Full pseudo-logic in [02 §Query Resolvers](./02-resolver-analysis.md). All depend on A02+A06."
Story,SPARK-PROD-B01,SPARK-PROD-B01 · getProduct,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,"SPARK-PROD-A02, SPARK-PROD-A06","**Current Behaviour (Q3):** `getByID.load(id)` `GET ${v1}?productId={id}` → camelCase or null; DataLoader-batched.
**Target:** `@DgsQuery getProduct(id): Product` via `ProductDataLoader` keyed on id. **Acceptance:** 1. returns product; 404→null. 2. batches N ids in 1 call. **Tests:** ☐ happy ☐ 404→null ☐ batch ☐ integration."
Story,SPARK-PROD-B02,SPARK-PROD-B02 · getProductsByIds,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,"SPARK-PROD-A02, SPARK-PROD-A06","**Current Behaviour (Q6):** `getByIdList.load(ids)` `GET ${v1}?productId={csv}&page=0&size=10000&sort=createdDate,desc`; primes `getByID`. **Target:** `@DgsQuery` → `ProductsPaged`. **Acceptance:** 1. returns paged products for ids. 2. primes single-id loader. **Tests:** ☐ happy ☐ empty ☐ integration."
Story,SPARK-PROD-B03,SPARK-PROD-B03 · getProductStatus (cacheable),,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,SPARK-PROD-A06,**Current Behaviour (Q7):** `getStatus.load()` master status list. **Target:** `@DgsQuery` → `@Cacheable` → `[MasterProductStatus]`. **Acceptance:** 1. returns statuses. 2. cached. **Tests:** ☐ list ☐ cache hit.
Story,SPARK-PROD-B04,SPARK-PROD-B04 · getProductVersions,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,SPARK-PROD-A06,**Current Behaviour (Q10):** `getVersions.load({id})` `GET ${v1}/{id}/versions?page=0&size=10000`. **Target:** `@DgsQuery` → `ProductsPaged`. **Acceptance:** 1. returns versions. **Tests:** ☐ happy ☐ integration.
Story,SPARK-PROD-B05,SPARK-PROD-B05 · getCopyStatus,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,SPARK-PROD-A06,**Current Behaviour (Q4):** `getCopyStatus.load(id)` `GET ${v2}/count/resource-type?copyId={id}`. **Target:** `@DgsQuery` → `ProductCopy`. **Acceptance:** 1. returns copy status. **Tests:** ☐ happy ☐ integration.
Story,SPARK-PROD-B06,SPARK-PROD-B06 · getProductTemplateById,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,SPARK-PROD-A06,**Current Behaviour (Q18):** `getByID.load(id)` → `response || {}` (empty object on miss — **preserve**). **Target:** `@DgsQuery getProductTemplateById(id): Product`. **Acceptance:** 1. returns product or empty object (not null). **Tests:** ☐ happy ☐ miss→{}.
Story,SPARK-PROD-B07,SPARK-PROD-B07 · getProductRules,,Product → plm-product DGS migration,B,Low,2,dgs-migration,product,query,SPARK-PROD-A06,**Current Behaviour (Q12):** `getAllRules.load()` `GET ${base}/spark_rules/v1` → `content`. **Target:** `@DgsQuery` → `[ProductRules]`. **Acceptance:** 1. returns rules content. **Tests:** ☐ list ☐ integration.
