Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Workspace → plm-workspace DGS migration,Workspace → plm-workspace DGS migration,,,,,dgs-migration,workspace,epic,,Epic for the workspace domain migration to the plm-product DGS.
Story,SPARK-WS-A01,SPARK-WS-A01 · Schema skeleton + DateTime/JsonNode scalars,,Workspace → plm-workspace DGS migration,A,Low,2,dgs-migration,workspace,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_WorkspaceV2.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, `scalar JsonNode`, empty `extend type Query`/`Mutation`. **Acceptance:** 1. `generateJava` passes. 2. scalars round-trip. **Tests:** ☐ compiles ☐ serde."
Story,SPARK-WS-A02,SPARK-WS-A02 · Owned types + inputs,,Workspace → plm-workspace DGS migration,A,Medium,3,dgs-migration,workspace,schema,SPARK-WS-A01,"**Target:** `WorkspaceV2` (`@key(fields:""id"")`) + ~13 value types + ~10 inputs per [03-schema.graphql](./03-schema.graphql); `@shareable` on `CodeDescription`/`Paging`/`Pageable`/`ResourceCount`; carry `@deprecated`. **Acceptance:** 1. all types/inputs present; nullability matches SDL. 2. validates. **Tests:** ☐ validates ☐ entity stub."
Story,SPARK-WS-A03,SPARK-WS-A03 · External stubs (platform + other DGS),,Workspace → plm-workspace DGS migration,A,Low,2,dgs-migration,workspace,schema,SPARK-WS-A01,"**Target:** `@extends @external` stubs for `Product`/`ProductsPaged`, `Claims`, `CombinationSourcePaged`,
`Attachment`/`SearchAttachment(sPaged)`, `DiscussionPaged`/`DiscussionElastic`, `TeamPaged`,
`UserProfileAttributes`, `ResourcePermissions`, `ResourceMapping`, `Tag`, `Status`, `VMM_*`, `IG_*`. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-WS-A04,SPARK-WS-A04 · WorkspaceServiceV2 port (plm-workspace),,Workspace → plm-workspace DGS migration,A,Medium,3,dgs-migration,workspace,service,SPARK-WS-A01,"**Current Behaviour (Phase 2 §Service):** 13 REST methods on the `plm-workspace` base.
**Target:** Kotlin service; preserve the create/update **dup-check** throw and `changeWorkspace` throw-on-error; default `workspaceType=103`. **Acceptance:** 1. methods present (CRUD, resources/teams bulk, change_resource, drop/undrop). 2. dup-check throws. **Tests:** ☐ endpoint build ☐ dup-check ☐ change throw.

---

### Phase B — Core Reads"
Story,SPARK-WS-B01,SPARK-WS-B01 · getWorkspaceV2,,Workspace → plm-workspace DGS migration,B,Low,2,dgs-migration,workspace,query,"SPARK-WS-A02, SPARK-WS-A04",**Current Behaviour (Q1):** (own) `getWorkspaceByIdV2.load(id)` `GET {base}?ids={id}`. **Target:** `@DgsQuery → WorkspaceV2`. **Acceptance:** 1. returns workspace; miss→null. **Tests:** ☐ happy ☐ miss.
Story,SPARK-WS-B02,SPARK-WS-B02 · getWorkspacesByIdsV2,,Workspace → plm-workspace DGS migration,B,Low,2,dgs-migration,workspace,query,"SPARK-WS-A02, SPARK-WS-A04",**Current Behaviour (Q2):** (ACL) token → (own) `getWorkspacesByIdsV2(jwt).load({ids})`. **Target:** `@DgsQuery → [WorkspaceV2]`. **Acceptance:** 1. returns list for ids. **Tests:** ☐ happy ☐ empty.
Story,SPARK-WS-B03,SPARK-WS-B03 · getWorkspaceTypeCount,,Workspace → plm-workspace DGS migration,B,Low,2,dgs-migration,workspace,query,SPARK-WS-A04,**Current Behaviour (Q7):** (🔴 search) `getWorkspaceTypeCount({})`. **Target:** `@DgsQuery → WorkspaceTypeCount`. **Acceptance:** 1. returns products/combinations/research counts. **Tests:** ☐ counts.
Story,SPARK-WS-B04,SPARK-WS-B04 · findWorkspaceProductAndSampleIds,,Workspace → plm-workspace DGS migration,B,Medium,3,dgs-migration,workspace,query,SPARK-WS-A04,"**Current Behaviour (Q5):** (🔴 product) `getWorkspaceProducts({workspaceId, filter, q, page:0, size:10000})` → map `{id:humanId, sampleIds:[sample.humanId]}`. **Target:** `@DgsQuery → WorkspaceContentResult`. **Acceptance:** 1. maps products + their sample human ids. **Tests:** ☐ map ☐ parity."
Story,SPARK-WS-B05,SPARK-WS-B05 · findWorkspaceClaims,,Workspace → plm-workspace DGS migration,B,Low,2,dgs-migration,workspace,query,SPARK-WS-A04,"**Current Behaviour (Q6):** (🔴 search) `getClaimsElastic({ q:""workspaceContext:{workspaceId}"", page:0, size:10000 })` → `.content`. **Target:** `@DgsQuery → [Claims]` (federated). **Acceptance:** 1. elastic query exact. **Tests:** ☐ query ☐ parity."
