Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,WATCHLIST-BE-B-01,(Watchlist) getWatchlistByIds(ids) [WATCHLIST-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,,To Do,"*Implementation Order:* 1 of 13 (Watchlist backend, step 1)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* No

*Depends On:*
* None

*Blocks:*
* WATCHLIST-BE-B-02 — getWatchlistReasons
* WATCHLIST-BE-B-03 — getWatchlistInspectionActions
* WATCHLIST-BE-C-01 — getWatchlistByFilter
* WATCHLIST-BE-D-01 — createWatchlistEntries
* WATCHLIST-BE-D-02 — cloneFilesForWatchlist
* WATCHLIST-BE-E-01 — updateWatchlistEntries
* WATCHLIST-BE-F-01 — Product.watchlists
* WATCHLIST-BE-F-02 — ResourcesCount.watchlists
* WATCHLIST-BE-G-01 — Computed flatteners
* WATCHLIST-BE-G-02 — createdBy + updatedBy + workspaces + participantDetails + partnerName
* WATCHLIST-BE-G-03 — attachments + product
* WATCHLIST-FE-001

*Current Behaviour:*
* (ACL context) token → `GET watchlist/v1?watchlistIds={csv}` → camelCase.

*Target:*
* `@DgsQuery → [Watchlist]`.

*Acceptance Criteria:*
1. returns entries for ids; empty → []

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-B-02,(Watchlist) getWatchlistReasons (cacheable) [WATCHLIST-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,B-01,To Do,"*Implementation Order:* 2 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* None

*Current Behaviour:*
* (own) `GET watchlist/v1/watchlist_reasons`.

*Target:*
* `@DgsQuery` → `@Cacheable` → `[CodeDescription]`.

*Acceptance Criteria:*
1. returns reasons; cached

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-B-03,(Watchlist) getWatchlistInspectionActions (cacheable) [WATCHLIST-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,watchlist,query,,B-01,To Do,"*Implementation Order:* 3 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* None

*Current Behaviour:*
* (own) `GET watchlist/v1/watchlist_inspection_action_types`.

*Target:*
* `@DgsQuery` → `@Cacheable` → `[WatchlistInspectionAction]`.

*Acceptance Criteria:*
1. returns actions; cached

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-C-01,(Watchlist) getWatchlistByFilter(...) (4-step read) [WATCHLIST-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,watchlist,search,,B-01,To Do,"*Implementation Order:* 4 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Medium — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* WATCHLIST-FE-001

*Current Behaviour:*
* (internal) `product.getWorkspaceProducts({q,filter,workspaceId,page,size})` → product `humanId`s → (🔴 search) `searchWatchlist({ q:""parentId:(... OR ...) AND workspaceContext: {workspaceId} AND statusId: 501"", page, size })` → watchlist ids → (ACL) token → (own) `getWatchlistByIds`. - **EXT:** 🔴 search · product internal.

*Target:*
* `@DgsQuery → [Watchlist]`; chain the 4 calls.

*Acceptance Criteria:*
1. product→search→watchlist chain preserved
2. elastic query string exact (incl. `statusId: 501`)

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-D-01,(Watchlist) createWatchlistEntries [WATCHLIST-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,watchlist,mutation,,B-01,To Do,"*Implementation Order:* 5 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Medium — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* WATCHLIST-FE-002

*Current Behaviour:*
* `Promise.all(entries.map(w => { (own) createWatchlistEntries([w]); **throw on validationErrors/message**; then (🔵 user-group) addUserGroup({resourceId:humanId, participantDetails, relatedResources}); **throw on error** }))`, flatten. **EXT:** 🔵 user-group.

*Target:*
* per-entry create + user-group; port both throw contracts.

*Acceptance Criteria:*
1. creates each entry + its user group
2. either failure → exception

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-D-02,(Watchlist) cloneFilesForWatchlist [WATCHLIST-BE-D-02],,Federate BreakDown Product,D,M,dgs-migration,watchlist,mutation,,B-01,To Do,"*Implementation Order:* 6 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Medium — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* WATCHLIST-FE-002

*Current Behaviour:*
* (ACL) token → `Promise.all(attachmentIds.map((id,i) => (🔴 attachment) cloneAttachmentV3({cloneReferences:[cloneReference[i]]}, id)))`, stamp `parentResource=id`, flatten. **EXT:** 🔴 attachment.

*Target:*
* structured-concurrency fan-out.

*Acceptance Criteria:*
1. clones each id with its paired cloneReference; `parentResource` stamped

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-E-01,(Watchlist) updateWatchlistEntries (multi-step write) [WATCHLIST-BE-E-01],,Federate BreakDown Product,E,L,dgs-migration,watchlist,complex,,"SPIKE-01, B-01, product (`PRODUCT-BE-E-00`, the shared `WriteSaga` module)",To Do,"*Implementation Order:* 7 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* High — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* WATCHLIST-FE-003

*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Current Behaviour:*
* 1) **per-entry (currently NOT awaited — bug):** `getUserGroups([humanId])`; if existing participants → `updateUserGroup`, else (🔵 user-group) `addUserGroup` (throw on error); 2) (own) `updateWatchlistEntries(entries)` (throw on error); 3) collect `removedAttachmentIds` → (ACL) token → (🔴 attachment) `archiveAttachmentBulkV3`. **No rollback.** - **EXT:** 🔴 attachment · 🔵 user-group.

*Target:*
* **await** the per-entry user-group upserts (fix the race) before/with the body update; chosen failure strategy (**PO decision**).

*Acceptance Criteria:*
1. user-group upserts complete before the watchlist update (race fixed)
2. removed attachments archived
3. partial-failure strategy

*Test Cases:*
* [ ] existing-participants path
* [ ] new-participants path
* [ ] attachment archive
* [ ] ordering/await
* [ ] partial-failure
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-F-01,(Watchlist) Product.watchlists (internal) [WATCHLIST-BE-F-01],,Federate BreakDown Product,F,XS,dgs-migration,watchlist,field-resolver,,B-01,To Do,"*Implementation Order:* 8 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* None

*Current Behaviour:*
* Product exposes `watchlists` resolved from the co-located watchlist service.

*Target:*
* **internal** `@DgsData` on `Product` calling `WatchlistService` in-process (not gateway federation).

*Acceptance Criteria:*
1. resolves in-process; no gateway hop

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,WATCHLIST-BE-F-02,(Watchlist) ResourcesCount.watchlists (internal — TechPack) [WATCHLIST-BE-F-02],,Federate BreakDown Product,F,XS,dgs-migration,watchlist,field-resolver,,B-01,To Do,"*Implementation Order:* 9 of 13 (Watchlist backend, step 2)
*Domain:* Watchlist — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* WATCHLIST-BE-B-01 — getWatchlistByIds

*Blocks:*
* None

*Target:*
* fill the TechPack `ResourcesCount.watchlists` count **internally** (same subgraph) — the watchlist side of product's `PRODUCT-BE-F-08`. **This is CAT-2 internal, not gateway federation** (watchlist is co-located; analogous to `BOM-BE-F-06` / `MST-BE-F-04`).

*Acceptance Criteria:*
1. count resolves in-process; parity vs the TechPack facade

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
