Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,PDTL-BE-B-01,(Product Details) getProductDetailsById(ids) [PDTL-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,productDetails,query,,,,To Do,"*Acceptance Criteria:*
1. returns list for ids; empty → []

*Full story:* be-04-stories.md#PDTL-BE-B-01"
Story,PDTL-BE-C-01,(Product Details) getProductDetailsElastic(resourceId) [PDTL-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,productDetails,search,,B-01,,To Do,"*Acceptance Criteria:*
1. `parentId:` elastic query built
2. paged shape returned

*Full story:* be-04-stories.md#PDTL-BE-C-01"
Story,PDTL-BE-D-01,(Product Details) createProductDetailsSet [PDTL-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. creates set
2. validation error → exception (not a partial object)

*Full story:* be-04-stories.md#PDTL-BE-D-01"
Story,PDTL-BE-D-02,(Product Details) updateProductDetailAccess [PDTL-BE-D-02],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. updates partner access for each resource

*Full story:* be-04-stories.md#PDTL-BE-D-02"
Story,PDTL-BE-D-03,(Product Details) productDetailLockUnlock [PDTL-BE-D-03],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. `isLock=true`→lock path, false→unlock path

*Full story:* be-04-stories.md#PDTL-BE-D-03"
Story,PDTL-BE-D-04,(Product Details) cloneFilesForProductDetails [PDTL-BE-D-04],,Federate BreakDown Product,D,M,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. clones each id with its paired cloneReference
2. `parentResource` stamped

*Full story:* be-04-stories.md#PDTL-BE-D-04"
Story,PDTL-BE-D-05,(Product Details) updateProductDetailComponentStatus [PDTL-BE-D-05],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. updates statuses; result wrapped as `{content}`
2. no-token behaviour documented

*Full story:* be-04-stories.md#PDTL-BE-D-05"
Story,PDTL-BE-E-01,(Product Details) updateProductDetailsSet (multi-step write) [PDTL-BE-E-01],,Federate BreakDown Product,E,L,dgs-migration,productDetails,complex,,"SPIKE-01, B-01, product (`PRODUCT-BE-E-00`, the shared `WriteSaga` module)",,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. all 4 steps in order
2. partial-failure strategy implemented
3. workspace assoc throws propagate

*Test Cases:*
* [ ] full path
* [ ] workspace-only
* [ ] attachment-archive
* [ ] partial-failure
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PDTL-BE-E-01"
Story,PDTL-BE-F-01,"(Product Details) Product.productDetails (internal, same subgraph) [PDTL-BE-F-01]",,Federate BreakDown Product,F,XS,dgs-migration,productDetails,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. `Product.productDetails` resolves in-process; no gateway hop
2. Field resolver uses a `MappedBatchLoader<String, List<SPARK_ProductDetails>>` (`productDetailsByProductIdLoader`) — when the parent query returns N products, product details are resolved in 1 batched call (not N)

*Full story:* be-04-stories.md#PDTL-BE-F-01"
Story,PDTL-BE-G-01,(Product Details) access + currentUserPermissions + participantDetails [PDTL-BE-G-01],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,user-profile,To Do,"*Acceptance Criteria:*
1. each field resolves; null-safe on empty

*Full story:* be-04-stories.md#PDTL-BE-G-01"
Story,PDTL-BE-G-02,(Product Details) product + createdBy + updatedBy + businessPartners + workspaces [PDTL-BE-G-02],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,"user-profile, vmm, workspaceV2",To Do,"*Acceptance Criteria:*
1. each resolves; `product` null when `parentId` not `PID*`
2. null id → null user

*Full story:* be-04-stories.md#PDTL-BE-G-02"
Story,PDTL-BE-G-03,(Product Details) attachment + item attachment/constructionSetAttachments + category subCategories [PDTL-BE-G-03],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,"search, specificationsTemplate",To Do,"*Acceptance Criteria:*
1. each field resolves to the right source
2. `attachment` length-≤2 filter preserved

*Full story:* be-04-stories.md#PDTL-BE-G-03"
Epic,,Federate BreakDown Product — Frontend,Federate BreakDown Product — Frontend,,,,fed-graphql-fe,frontend,epic,,,,,"Umbrella epic for the pdex-ui-react frontend migration to the federated GraphQL gateway. Holds the frontend stories for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); platform enablement (flag, codegen, cache remap, fragment sweep, dynamic-gql expansion) is already complete. Every story lists the backend stories it depends on; a frontend story is Done only after its backend dependencies are delivered."
Story,PDTL-FE-001,[Product Details FE] Migrate product-details reads [PDTL-FE-001],,Federate BreakDown Product — Frontend,FE,S,fed-graphql-fe,productDetails,query-migration,,PDTL-BE-B-01 PDTL-BE-G-01 PDTL-BE-G-02 PDTL-BE-G-03,"search, specificationsTemplate, user-profile, vmm, workspaceV2",To Do,"*Implementation Order:* 14 of 15 (Product Details combined — frontend #2, cutover step 4)
*Domain:* Product Details — *Team:* Frontend — *Owner:* FE-1
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* PDTL-BE-B-01 — getProductDetailsById
* PDTL-BE-G-01 — access + currentUserPermissions + participantDetails
* PDTL-BE-G-02 — product + createdBy + updatedBy + businessPartners + workspaces
* PDTL-BE-G-03 — attachment + item attachment/constructionSetAttachments + category subCategories

*Blocks:*
* None

* *Type:* Query migration · *Impact:* Low · *Domain:* productDetails
* *Depends on:* PDTL-BE-B-01, PDTL-BE-G-01, PDTL-BE-G-02, PDTL-BE-G-03
* *Operations:* {{getProductDetailsById}}, {{getProductDetailComponentStatus}}

* *Business objective:*
** Specification screens read from the federated graph unchanged.
* *Technical objective:*
** Migrate the 2 read documents in {{product-details/SpecificationQueries.ts}} (fragment {{PRODUCT_DETAILS_DATA_FRAGMENT}}).
* *Required changes:*
** Fragment re-target; document re-point; model regeneration.

*Acceptance Criteria*

1. Specification screens render identically under the flag.

*Testing*

* Screen integration tests; snapshot regeneration.

* *Risk:* Low.
* *Estimated effort:* 2–3 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,PDTL-FE-002,[Product Details FE] Migrate product-details simple mutations [PDTL-FE-002],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,productDetails,mutation-migration,,PDTL-BE-D-01 PDTL-BE-D-03 PDTL-BE-D-04 PDTL-BE-D-05,,To Do,"*Implementation Order:* 13 of 15 (Product Details combined — frontend #1, cutover step 3)
*Domain:* Product Details — *Team:* Frontend — *Owner:* FE-1
*Priority:* Medium — *Parallelizable:* No

*Depends On:*
* PDTL-BE-D-01 — createProductDetailsSet
* PDTL-BE-D-03 — productDetailLockUnlock
* PDTL-BE-D-04 — cloneFilesForProductDetails
* PDTL-BE-D-05 — updateProductDetailComponentStatus

*Blocks:*
* None

* *Type:* Mutation migration · *Impact:* Medium · *Domain:* productDetails
* *Depends on:* PDTL-BE-D-01, PDTL-BE-D-03, PDTL-BE-D-04, PDTL-BE-D-05
* *Operations:* {{createProductDetailsSet}}, {{productDetailLockUnlock}}, {{cloneFilesForProductDetails}}, {{updateProductDetailComponentStatus}}

* *Business objective:*
** Specification create, lock and clone flows write through the federated graph.
* *Technical objective:*
** Migrate the 4 single-step mutations with cache writes.
* *Required changes:*
** Input renames; response-driven cache updates.

*Acceptance Criteria*

1. Each flow completes and reflects in the UI without manual refresh.

*Testing*

* Mutation unit tests; clone-flow smoke test.

* *Risk:* Low.
* *Estimated effort:* 3–4 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
