FE Story,FE Story Title,Dependency Type,Dependency Story/Spike,Description,External Service,Is Externally-Owned Gap?
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-B-01,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-F-10,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-01,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-02,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-03,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-06,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-07,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-08,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-09,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-10,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-13,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-G-14,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,BE,PRODUCT-BE-S-01,,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,Spikes,SPIKE-04,Unresolved spike - gates dependent field(s) until decided,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,Spikes,SPIKE-05,Unresolved spike - gates dependent field(s) until decided,,No
PRODUCT-FE-001,Migrate `getProduct` documents in product-queries,New,NEW-PRODUCT-BE-G-??,"Internal-only gap, no story authored yet: resourcePermissions",,No (internal placeholder)
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-B-01,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-B-04,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-F-10,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-G-01,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-G-02,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-G-03,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-G-06,,,No
PRODUCT-FE-002,Migrate shared-library `getProduct` consumers,BE,PRODUCT-BE-G-07,,,No
