Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Measurement → plm-product DGS migration,Measurement → plm-product DGS migration,,,,,dgs-migration,measurement,epic,,Epic for the measurement domain migration to the plm-product DGS.
Story,SPARK-MEAS-A01,SPARK-MEAS-A01 · Schema skeleton + DateTime scalar,,Measurement → plm-product DGS migration,A,Low,2,dgs-migration,measurement,schema,,"**As a** DGS migration engineer **I want** the `measurement.graphqls` skeleton + `DateTime` **so that** later
work compiles on a stable base.
**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Measurement.txt`.
**Target DGS Implementation:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`.
**Files:** `schema/measurement.graphqls`, `config/ScalarConfig.kt`. **Dependencies:** None.
**Acceptance Criteria:** 1. `./gradlew generateJava` passes. 2. `DateTime` round-trips ISO-8601.
**Test Cases:** ☐ Unit: compiles ☐ Unit: DateTime serde."
Story,SPARK-MEAS-A02,SPARK-MEAS-A02 · Owned types + inputs,,Measurement → plm-product DGS migration,A,Medium,3,dgs-migration,measurement,schema,SPARK-MEAS-A01,"**Current Behaviour:** `Measurement` (set), `SampleMeasurementSet`, 6 value types + ~18 inputs — see [03-schema.graphql](./03-schema.graphql).
**Target DGS Implementation:** add the types; `@key(fields:""id"")` on `Measurement`; `@key(fields:""sampleId"")` on `SampleMeasurementSet`; `@shareable` on the 5 shared value types.
**Files:** `schema/measurement.graphqls`. **Dependencies:** A01.
**Acceptance Criteria:** 1. All owned types + inputs present. 2. Keys applied as above. 3. Schema validates.
**Test Cases:** ☐ Unit: validates ☐ Unit: both entities resolve via stub."
Story,SPARK-MEAS-A03,SPARK-MEAS-A03 · External stubs,,Measurement → plm-product DGS migration,A,Low,2,dgs-migration,measurement,schema,SPARK-MEAS-A01,"**Current Behaviour:** references 12 external types incl. `TightFit` (composite key `id version`), `MeasurementTemplate`/`SizeTemplate` (sibling domains), `SampleV2`.
**Target DGS Implementation:** add each stub with the correct `@key`; `TightFit @key(fields:""id version"")`.
**Files:** `schema/measurement.graphqls`. **Dependencies:** A01.
**Acceptance Criteria:** 1. 12 stubs compile; gateway composes. 2. `TightFit` composite key correct.
**Test Cases:** ☐ Unit: compiles ☐ Integration: gateway resolves a `MeasurementTemplate` stub."
Story,SPARK-MEAS-A04,SPARK-MEAS-A04 · MeasurementService Kotlin port (18 methods),,Measurement → plm-product DGS migration,A,Medium,3,dgs-migration,measurement,service,SPARK-MEAS-A01,"**Current Behaviour (S1):** base `…/measurements/v1` + master data. 18 methods (see [02 §Service Classes](./02-resolver-analysis.md)). `addMeasurement`/`updateMeasurement` prime the read cache; `updateMeasurement` sets `omitParamsInBody`. **ACL note (context):** resource-scoped calls curry a capability token; ignored in DGS.
**Target DGS Implementation:** `MeasurementClient` Feign + `MeasurementService`. Master-data methods (`getUnitsOfMeasure`, `getThicknessUnitsOfMeasure`, `getMeasurementSetStatus`) `@Cacheable`. Build `getMeasurementByIds` query string with `qs`-style params. Confirm fate of 2 unused version methods.
**Files:** `service/MeasurementService.kt`, `client/MeasurementClient.kt`, `model/MeasurementDto.kt`. **Dependencies:** A01.
**Acceptance Criteria:** 1. All 18 method signatures present; verb/path per §Service Classes. 2. Master-data `@Cacheable`. 3. `updateMeasurement` PUT omits `humanId` from body. 4. Jackson snake/camel both ways.
**Test Cases:** ☐ Unit: `getMeasurementByIds` query build ☐ Unit: cache hit ☐ Unit: snake/camel."
Story,SPARK-MEAS-B01,SPARK-MEAS-B01 · getMeasurementByIds data fetcher,,Measurement → plm-product DGS migration,B,Low,2,dgs-migration,measurement,query,"SPARK-MEAS-A02, SPARK-MEAS-A04","**Current Behaviour (Q1):** `GET {base}/…/measurements/v1?ids=&calculated=&mustHaveRows=` → camelCase. **ACL note (context):** token for `ids`; ignored in DGS.
**Target DGS Implementation:** `@DgsQuery getMeasurementByIds(ids, calculated): MeasurementPaged` (SDL: paged `{content}`, not a bare list) → `measurementService.getByIds(ids, calculated)`. Add a `MeasurementDataLoader` keyed on id.
**Files:** `dataFetcher/MeasurementQueryDataFetcher.kt`. **Dependencies:** A02, A04.
**Acceptance Criteria:** 1. Returns measurements for ids with `calculated` flag forwarded. 2. Empty ids → `[]`. 3. snake→camel mapping.
**Test Cases:** ☐ Unit: happy path ☐ Unit: empty ☐ Integration."
Story,SPARK-MEAS-B02,SPARK-MEAS-B02 · getUnitsOfMeasure (cacheable),,Measurement → plm-product DGS migration,B,Low,2,dgs-migration,measurement,query,SPARK-MEAS-A04,"**Current Behaviour (Q4):** `GET {base}/…/master_data/unit_of_measure[?ids=]` → `units_of_measure` camelCase.
**Target DGS Implementation:** `@DgsQuery` → `@Cacheable` service method returning `[UnitOfMeasure]`.
**Acceptance Criteria:** 1. Returns UoM list (optionally filtered by ids). 2. Cached.
**Test Cases:** ☐ Unit: list ☐ Unit: cache hit."
Story,SPARK-MEAS-B03,SPARK-MEAS-B03 · getThicknessUnitsOfMeasure (cacheable),,Measurement → plm-product DGS migration,B,Low,2,dgs-migration,measurement,query,SPARK-MEAS-A04,"**Current Behaviour (Q5):** `GET {base}/…/master_data/thickness_uom` → `units_of_measure`.
**Target DGS Implementation:** `@DgsQuery` → `@Cacheable` returning `[UnitOfMeasure]`.
**Acceptance Criteria:** 1. Returns thickness UoM list. 2. Cached.
**Test Cases:** ☐ Unit: list ☐ Unit: cache hit."
Story,SPARK-MEAS-B04,SPARK-MEAS-B04 · getMeasurementSetStatus (cacheable),,Measurement → plm-product DGS migration,B,Low,2,dgs-migration,measurement,query,SPARK-MEAS-A04,"**Current Behaviour (Q6):** `GET {base}/masterData?name=MeasurementSetStatus` → `{key:value}` map → `[{code, description}]`.
**Target DGS Implementation:** `@DgsQuery` → `@Cacheable` mapping the map to the list.
**Acceptance Criteria:** 1. Returns statuses. 2. Cached. 3. key→code, value→description.
**Test Cases:** ☐ Unit: map→list ☐ Unit: cache hit."
Story,SPARK-MEAS-B05,SPARK-MEAS-B05 · getSampleMeasurement data fetcher,,Measurement → plm-product DGS migration,B,Low,2,dgs-migration,measurement,query,"SPARK-MEAS-A02, SPARK-MEAS-A04","**Current Behaviour (Q7):** `GET {base}/…/measurements/v1/sample/{sampleId}` → camelCase. **ACL note (context):** token for `sampleId`; ignored in DGS.
**Target DGS Implementation:** `@DgsQuery getSampleMeasurement(sampleId): SampleMeasurementSet` (SDL: a single object, not a list).
**Acceptance Criteria:** 1. Returns the sample measurement set for `sampleId`. 2. Not found → `null`.
**Test Cases:** ☐ Unit: happy path ☐ Unit: empty ☐ Integration."
