Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,PDTL-BE-B-01,(Product Details) getProductDetailsById(ids) [PDTL-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,productDetails,query,,,,To Do,"*Acceptance Criteria:*
1. returns list for ids; empty → []

*Full story:* be-04-stories.md#PDTL-BE-B-01"
Story,PDTL-BE-C-01,(Product Details) getProductDetailsElastic(resourceId) [PDTL-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,productDetails,search,,B-01,,To Do,"*Acceptance Criteria:*
1. `parentId:` elastic query built
2. paged shape returned

*Full story:* be-04-stories.md#PDTL-BE-C-01"
Story,PDTL-BE-D-01,(Product Details) createProductDetailsSet [PDTL-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. creates set
2. validation error → exception (not a partial object)

*Full story:* be-04-stories.md#PDTL-BE-D-01"
Story,PDTL-BE-D-02,(Product Details) updateProductDetailAccess [PDTL-BE-D-02],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. updates partner access for each resource

*Full story:* be-04-stories.md#PDTL-BE-D-02"
Story,PDTL-BE-D-03,(Product Details) productDetailLockUnlock [PDTL-BE-D-03],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. `isLock=true`→lock path, false→unlock path

*Full story:* be-04-stories.md#PDTL-BE-D-03"
Story,PDTL-BE-D-04,(Product Details) cloneFilesForProductDetails [PDTL-BE-D-04],,Federate BreakDown Product,D,M,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. clones each id with its paired cloneReference
2. `parentResource` stamped

*Full story:* be-04-stories.md#PDTL-BE-D-04"
Story,PDTL-BE-D-05,(Product Details) updateProductDetailComponentStatus [PDTL-BE-D-05],,Federate BreakDown Product,D,XS,dgs-migration,productDetails,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. updates statuses; result wrapped as `{content}`
2. no-token behaviour documented

*Full story:* be-04-stories.md#PDTL-BE-D-05"
Story,PDTL-BE-E-01,(Product Details) updateProductDetailsSet (multi-step write) [PDTL-BE-E-01],,Federate BreakDown Product,E,L,dgs-migration,productDetails,complex,,"SPIKE-01, B-01, product (`PRODUCT-BE-E-00`, the shared `WriteSaga` module)",,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. all 4 steps in order
2. partial-failure strategy implemented
3. workspace assoc throws propagate

*Test Cases:*
* [ ] full path
* [ ] workspace-only
* [ ] attachment-archive
* [ ] partial-failure
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PDTL-BE-E-01"
Story,PDTL-BE-F-01,"(Product Details) Product.productDetails (internal, same subgraph) [PDTL-BE-F-01]",,Federate BreakDown Product,F,XS,dgs-migration,productDetails,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. `Product.productDetails` resolves in-process; no gateway hop
2. Field resolver uses a `MappedBatchLoader<String, List<SPARK_ProductDetails>>` (`productDetailsByProductIdLoader`) — when the parent query returns N products, product details are resolved in 1 batched call (not N)

*Full story:* be-04-stories.md#PDTL-BE-F-01"
Story,PDTL-BE-G-01,(Product Details) access + currentUserPermissions + participantDetails [PDTL-BE-G-01],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,user-profile,To Do,"*Acceptance Criteria:*
1. each field resolves; null-safe on empty

*Full story:* be-04-stories.md#PDTL-BE-G-01"
Story,PDTL-BE-G-02,(Product Details) product + createdBy + updatedBy + businessPartners + workspaces [PDTL-BE-G-02],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,"user-profile, vmm, workspaceV2",To Do,"*Acceptance Criteria:*
1. each resolves; `product` null when `parentId` not `PID*`
2. null id → null user

*Full story:* be-04-stories.md#PDTL-BE-G-02"
Story,PDTL-BE-G-03,(Product Details) attachment + item attachment/constructionSetAttachments + category subCategories [PDTL-BE-G-03],,Federate BreakDown Product,G,M,dgs-migration,productDetails,field-resolver,,B-01,"search, specificationsTemplate",To Do,"*Acceptance Criteria:*
1. each field resolves to the right source
2. `attachment` length-≤2 filter preserved

*Full story:* be-04-stories.md#PDTL-BE-G-03"
