Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Impression → plm-product DGS migration,Impression → plm-product DGS migration,,,,,dgs-migration,impression,epic,,Epic for the impression domain migration to the plm-product DGS.
Story,SPARK-IMP-A01,SPARK-IMP-A01 · Schema skeleton + DateTime scalar,,Impression → plm-product DGS migration,A,Low,2,dgs-migration,impression,schema,,"**As a** DGS migration engineer **I want** the `impression.graphqls` skeleton + `DateTime` scalar **so that**
later impression work compiles on a stable base.
**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Impression.txt`.
**Target DGS Implementation:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`.
**Files:** `schema/impression.graphqls`, `config/ScalarConfig.kt`. **Dependencies:** None.
**Acceptance Criteria:** 1. `./gradlew generateJava` passes. 2. `DateTime` round-trips ISO-8601.
**Test Cases:** ☐ Unit: schema compiles ☐ Unit: DateTime serde."
Story,SPARK-IMP-A02,SPARK-IMP-A02 · Owned types + inputs,,Impression → plm-product DGS migration,A,Low,2,dgs-migration,impression,schema,SPARK-IMP-A01,"**As a** DGS migration engineer **I want** `Impression`, `ImpressionCount`, `CountsByBp` and the 3 inputs
defined **so that** resolvers/mutations have a contract.
**Current Behaviour:** see [03-schema.graphql](./03-schema.graphql).
**Target DGS Implementation:** add the types; `@key(fields:""id"")` on `Impression`; `@shareable` on `CountsByBp`.
**Files:** `schema/impression.graphqls`. **Dependencies:** A01.
**Acceptance Criteria:** 1. All owned types + inputs present. 2. `@key` only on `Impression`. 3. Schema validates.
**Test Cases:** ☐ Unit: schema validates ☐ Unit: `Impression` entity stub resolves."
Story,SPARK-IMP-A03,SPARK-IMP-A03 · External stubs,,Impression → plm-product DGS migration,A,Low,2,dgs-migration,impression,schema,SPARK-IMP-A01,"**Current Behaviour:** references `VMM_BusinessPartner`, `Product`, `WorkspaceV2`, `UserProfileAttributes`.
**Target DGS Implementation:** add each as `@extends @key(fields:""id"") { id: ID! @external }`.
**Files:** `schema/impression.graphqls`. **Dependencies:** A01.
**Acceptance Criteria:** 1. 4 stubs compile; gateway composes without conflict.
**Test Cases:** ☐ Unit: compiles ☐ Integration: gateway resolves a `VMM_BusinessPartner` stub."
Story,SPARK-IMP-A04,SPARK-IMP-A04 · ImpressionService Kotlin port (2 methods),,Impression → plm-product DGS migration,A,Low,2,dgs-migration,impression,service,SPARK-IMP-A01,"**Current Behaviour (S1):** base `…/impressions/product`. `searchImpressionsByProductId` →
`GET /{productId}?workspaceIds=&partnerIds=` (repeated params from arrays); `updateImpressions` →
`PUT /{productId}` (snake_case request, camelCase response). **ACL note (context):** both curry a capability
token because impressions are product-scoped; ignored in DGS.
**Target DGS Implementation:** `ImpressionClient` Feign (GET + PUT) + `ImpressionService`. Build the GET query
string by repeating `workspaceIds`/`partnerIds`. Jackson snake/camel.
**Files:** `service/ImpressionService.kt`, `client/ImpressionClient.kt`, `model/ImpressionDto.kt`. **Dependencies:** A01.
**Acceptance Criteria:** 1. GET builds repeated `workspaceIds`/`partnerIds` params. 2. PUT sends snake_case, maps camelCase response. 3. Both signatures present.
**Test Cases:** ☐ Unit: GET query-string build ☐ Unit: snake/camel mapping."
Story,SPARK-IMP-B01,SPARK-IMP-B01 · searchImpressionsByProductId data fetcher,,Impression → plm-product DGS migration,B,Low,2,dgs-migration,impression,query,"SPARK-IMP-A02, SPARK-IMP-A04","**Current Behaviour (Q1):** `GET {base}/…/impressions/product/{id}?workspaceIds=&partnerIds=` → camelCase list.
`enableWorkspaceContextFiltering` is accepted but **not forwarded** to the service today — confirm intended.
**ACL note (context):** capability token for `id`; ignored in DGS.
**Target DGS Implementation:** `@DgsQuery searchImpressionsByProductId(id, partnerIds, workspaceIds, enableWorkspaceContextFiltering): List<Impression>` → `impressionService.searchByProductId(...)`. Decide whether to wire `enableWorkspaceContextFiltering` to the backend.
**Files:** `dataFetcher/ImpressionQueryDataFetcher.kt`. **Dependencies:** A02, A04.
**Acceptance Criteria:** 1. Returns impressions for `id` with optional partner/workspace filters. 2. `enableWorkspaceContextFiltering` behaviour documented (forwarded or intentionally ignored). 3. Empty → `[]`.
**Test Cases:** ☐ Unit: filters in query string ☐ Unit: empty ☐ Integration."
Story,SPARK-IMP-B02,SPARK-IMP-B02 · getImpressionCountsByProductId data fetcher,,Impression → plm-product DGS migration,B,Low,2,dgs-migration,impression,query,"SPARK-IMP-A02, SPARK-IMP-A04","**Current Behaviour (Q2):** reuses the same REST search call for `id`; returns the impressions list typed as
`ImpressionCount`; the `ImpressionCount.counts` field (G02) aggregates.
**Target DGS Implementation:** `@DgsQuery getImpressionCountsByProductId(id): ImpressionCount` → returns the
impressions list as the parent for `counts`. **PO decision:** preserve this contract, or switch to a typed
`ImpressionCountResult` computed in the fetcher (see 03-analysis).
**Files:** `dataFetcher/ImpressionQueryDataFetcher.kt`. **Dependencies:** A02, A04.
**Acceptance Criteria:** 1. Returns the impressions list as the `ImpressionCount` parent. 2. Contract decision recorded. 3. Empty product → `counts` yields `totalCount: 0` (see G02).
**Test Cases:** ☐ Unit: returns list-as-parent ☐ Integration: `{ counts { bpType counts } }`."
Story,SPARK-IMP-D01,SPARK-IMP-D01 · updateImpressions mutation,,Impression → plm-product DGS migration,D,Medium,3,dgs-migration,impression,mutation,SPARK-IMP-A04,"**Current Behaviour (M1):** `PUT {base}/…/impressions/product/{productId}` with `{impressionsToDelete, impressionsToUpdate}` (snake_case); on `validationErrors || message` → throw. **ACL note (context):** capability token for `productId`; ignored in DGS.
**Target DGS Implementation:** `@DgsMutation updateImpressions(productId, productImpression): List<Impression>`
→ `impressionService.update(...)`; map camelCase↔snake_case; on `validationErrors`/`message` → typed
`ImpressionValidationException`.
**Files:** `dataFetcher/ImpressionMutationDataFetcher.kt`. **Dependencies:** A04.
**Acceptance Criteria:** 1. PUT sends delete + update sets snake_case. 2. Returns updated impressions camelCase. 3. Backend `validationErrors`/`message` → exception (not silent return).
**Test Cases:** ☐ Unit: request shape ☐ Unit: validationErrors → exception ☐ Integration."
Story,SPARK-IMP-F01,"SPARK-IMP-F01 · Implement Product.impressions/impressionCounts (internal, same subgraph)",,Impression → plm-product DGS migration,F,Low,2,dgs-migration,impression,field-resolver,SPARK-IMP-A04,"**Monorepo:** `product` and `impression` are the same `plm-product` subgraph — this is an **internal** field
resolver, not gateway federation.
**Current Behaviour:** product navigates to impressions via the impression search call.
**Target DGS Implementation:** plain `@DgsData` fields on the internal `Product` type for
`impressions(partnerIds, workspaceIds)` and `impressionCounts` → in-process `impressionService` calls.
**No** `@DgsEntityFetcher`/`@extends @external`. Depends on `Product` existing (product A02).
**Acceptance Criteria:** 1. `Product.impressions/impressionCounts` resolve internally via `impressionService`. 2. no gateway hop. 3. Parity vs current product-side resolver.
**Test Cases:** ☐ Unit: calls impression service ☐ Integration: `Product { impressions { id } }` in-process ☐ Parity."
Story,SPARK-IMP-G01,SPARK-IMP-G01 · Impression field resolvers (5),,Impression → plm-product DGS migration,G,Low,2,dgs-migration,impression,field-resolver,"SPARK-IMP-A02, SPARK-IMP-A04","**Current Behaviour (F1–F5):** `businessPartners` (`loadBpsWithType(partnerIds.map(p=>({partnerId:p})))`),
`owningBusinessPartner` (`loadBp(owningPartnerId)`), `workspaces` (`getWorkspacesByIdsV2(workspaceContext)` or `[]`),
`createdBy`/`updatedBy` (`userAttributes.getUserByID.load(...)`).
**EXT:** 🟡 workspaceV2; 🔵 vmm; 🔵 user-profile.
**Target DGS Implementation:** 5 `@DgsData` fields resolving via federated references / clients.
`workspaces` → `[]` when `workspaceContext` empty.
**Files:** `dataFetcher/ImpressionFieldDataFetcher.kt`. **Dependencies:** A02, A04.
**Acceptance Criteria:** 1. partners resolve from `partnerIds`/`owningPartnerId`. 2. `workspaces` empty → `[]`. 3. `createdBy`/`updatedBy` resolve by user id (null id → null).
**Test Cases:** ☐ Unit: partners mapping ☐ Unit: empty workspaces ☐ Unit: null user id ☐ Integration: federated `Impression { createdBy { id } }`."
