Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Sub-task,PRODUCT-BE-E-03,"(Product) getProductTechPackCountV1 stub + aggregation facade (facade-then-federate, Phase 1) [PRODUCT-BE-E-03]",,,E,XL,dgs-migration,product,complex-case,PRODUCT-BE-E-03,,To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. Returns a fully populated 11-field `ResourcesCount` from the facade for a valid `(productId, partnerId, workspaceContext, parentProductId)` input
2. `@DgsEntityFetcher(name=""ResourcesCount"")` reconstructs the entity from key + context on an `_entities` query (federation-ready shell)
3. Recorded-fixture parity vs `spark-internal-graphql` for ≥ 5 pinned inputs, including: a product **with a parent** (double-walk), > 100 walked ids (chunked ACL), a 3D attachment, and a critical thread whose parent discussion is outside the walk — 100% field-value match modulo the ADR-015 §4 deviation list (parallelized elastic/ACL calls; counts unchanged)
4. Facade is observable: per-slice latency + error metrics and a health endpoint exist (they gate the `H-01`–`H-05` re-homings and the `F-09` retirement check)
5. Facade is behavior-frozen: deviations limited to ADR-015 §4 pin-downs; `CODEOWNERS` guard in place so new feature work lands in the owning domain's `F0x` story instead

*Test Cases:*
* [ ] facade call returns 11 populated fields
* [ ] entity fetcher via `_entities`
* [ ] parity ≥ 5 pinned inputs (incl. parent double-walk, >100 ids, 3D attachment, out-of-walk critical thread)
* [ ] per-slice metrics emitted
* [ ] Integration: full query via DGS test client returns expected shape

*Full story:* be-04-stories.md#PRODUCT-BE-E-03"
Sub-task,PRODUCT-BE-E-04,"(Product) getProductTechPackBulkCountV1 (bulk wrapper, ordering fix) [PRODUCT-BE-E-04]",,,E,XL,dgs-migration,product,complex-case,PRODUCT-BE-E-03,E-03,To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `bulk(P1..Pn) == [single(P1)..single(Pn)]` in input order
2. empty list → []

*Test Cases:*
* [ ] order preserved
* [ ] empty
* [ ] Parity: DGS response matches spark-internal-graphql baseline

*Full story:* be-04-stories.md#PRODUCT-BE-E-04"
Sub-task,PRODUCT-BE-H-01,"(Product) ResourcesCount.productAttachments + discussionAttachments (federated, from Attachment) [PRODUCT-BE-H-01]",,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"E-03, attachment domain (⛔ cross-subgraph — does not ship until `plm-attachment` is live)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `productAttachments`/`discussionAttachments` resolve on the federated `ResourcesCount`; the `E-03` facade stops populating them
2. Parity vs the facade for the same inputs
3. Field is live in prod only after `plm-attachment` is deployed (ship gate honored)

*Full story:* be-04-stories.md#PRODUCT-BE-H-01"
Sub-task,PRODUCT-BE-H-02,"(Product) ResourcesCount.discussions (federated, from Discussion) [PRODUCT-BE-H-02]",,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"E-03, discussion domain (⛔ cross-subgraph)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `discussions` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `plm-discussion` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-02"
Sub-task,PRODUCT-BE-H-03,"(Product) ResourcesCount.sample (federated, from Sample) [PRODUCT-BE-H-03]",,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"E-03, sample domain (⛔ cross-subgraph)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `sample` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `plm-sample` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-03"
Sub-task,PRODUCT-BE-H-04,"(Product) ResourcesCount.claims (federated, from Claim) [PRODUCT-BE-H-04]",,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"E-03, claim domain (⛔ cross-subgraph)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `claims` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after `spark-claims` is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-04"
Sub-task,PRODUCT-BE-H-05,"(Product) ResourcesCount.constructions (federated, from Construction) [PRODUCT-BE-H-05]",,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"E-03, construction domain (⛔ cross-subgraph)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `constructions` resolves on the federated `ResourcesCount`; facade stops populating it; parity vs facade
2. Live in prod only after the construction subgraph is deployed

*Full story:* be-04-stories.md#PRODUCT-BE-H-05"
Sub-task,PRODUCT-BE-H-06,(Product) Product entity fetcher (@DgsEntityFetcher) for cross-subgraph references [PRODUCT-BE-H-06],,,H,M,dgs-migration,product,complex-case,PRODUCT-BE-E-03,B-01,To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. `_entities` resolves `Product` representations with a single batched backend call
2. Unknown ids yield `null` entries without failing the whole `_entities` response
3. End-to-end: a claims-subgraph query `{ getClaims { product { description } } }` hydrates through the gateway (pairs with CLAIM-BE-G-03)
4. No ACL plumbing introduced

*Full story:* be-04-stories.md#PRODUCT-BE-H-06"
Sub-task,PRODUCT-BE-F-09,(Product) Retire the TechPack aggregation facade [PRODUCT-BE-F-09],,,F,XS,dgs-migration,product,complex-case,PRODUCT-BE-E-03,"H-01, H-02, H-03, F-04, H-04, F-06, H-05, F-08",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. all 11 `ResourcesCount` fields resolve via federation
2. facade health-check endpoint returns 404 (decommissioned)
3. no orphaned config (feature flags, Feign client beans, etc. referencing the retired facade)

*Full story:* be-04-stories.md#PRODUCT-BE-F-09"
Sub-task,CLAIM-BE-H-02,(Claims) ResourcesCount.claims (TechPack — claims side of PRODUCT-BE-H-04) [CLAIM-BE-H-02],,,H,XS,dgs-migration,claims,complex-case,PRODUCT-BE-E-03,"B-01, product (`PRODUCT-BE-E-03`, TechPack facade, also `PRODUCT-BE-F-14` contract alignment)",To Do,"*Complex case:* techpack — see complexStories/techpack/00-overview.md and 01-adr-*.md

*Acceptance Criteria:*
1. field resolves on the federated `ResourcesCount`; parity vs facade

*Full story:* be-04-stories.md#CLAIM-BE-H-02"
