Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,BOM-BE-A-04,(BOM) @DgsTypeResolver for the 2 BOM interfaces [BOM-BE-A-04],,Federate BreakDown Product,A,M,dgs-migration,bom,schema,,SPIKE-05,,To Do,"*Requires spike:* SPIKE-05 (Polymorphic Type Resolution) — see program spike

*Acceptance Criteria:*
1. Each `materialCategory.code` maps to the type in the table above; unknown codes → `BomMaterial`
2. Each impression `type` maps correctly; unknown → `BomBaseImpressionDetails`
3. `BomConstants` holds all 21 category codes + 5 impression codes (verify values against backend, ADR-017 pin-down 1)

*Full story:* be-04-stories.md#BOM-BE-A-04"
Story,BOM-BE-A-05,(BOM) Shared CI conformance gate + code → type registry (SPIKE-05) [BOM-BE-A-05],,Federate BreakDown Product,A,M,dgs-migration,bom,schema,,A-04,,To Do,"*Acceptance Criteria:*
1. The conformance library's three checks (SDL↔enum, explicit-default, golden-fixture-diff) run against `BomConstants.kt` + `bom.graphqls` in bom's CI build and pass on the current (correct) mapping
2. Demonstrably fails on each drift direction, proven by a negative test per direction: an SDL member with no enum row; an enum row with no SDL type; an undeclared/implicit default; a mapping change with no fixture change in the same commit
3. Golden-table fixtures exist for both of bom's dispatch sites (`BomMaterialInterface`, `BomImpressionDetailsInterface`), seeded from ADR-017 §1 and backend-verified per `A-04` AC-3 — including a HUB (code 9) material row and an unknown/missing category-code row (ADR-017 §5 fixture list)
4. The `code → type` registry (`CodeToTypeRegistry.md`) is a standalone, human-readable page covering all five dispatch sites named in ADR-017 §1 (the three not yet built — `SampleAsset`, `SampleV2.parent*`, materials search — are recorded as later-phase rows so `SAMPLE-BE-A-04`/`SAMPLE-BE-G-02` and `SEARCH-BE-B-01`/`SEARCH-BE-C-02` inherit the table rather than re-deriving it), and includes ADR-014's `type 2 → packagingBom` row
5. The library is versioned with the schema-registry tooling and documented as a single shared artifact — no domain forks its own copy (ADR-017 pin-down 7)
6. This story does not touch any per-variant field resolver or dispatch table itself — those are `A-04`'s and each per-variant `G-0x` story's own scope; this story only builds and wires the shared gate + registry

*Full story:* be-04-stories.md#BOM-BE-A-05

*Complex — broken into sub-tasks:* A-05-1 SDL↔enum↔fixture conformance library · A-05-2 code→type registry seeding

*Detailed cross-domain case:* complexStories/polymorphic-type-resolution/ (import polymorphic-type-resolution.csv for the sub-tasks)"
Story,BOM-BE-B-01,(BOM) getBomByIds data fetcher [BOM-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. `getBomByIds([""B1"",""B2""])` returns mapped `Bom` objects from the REST list endpoint
2. Empty `ids` → returns `[]` with **no** REST call
3. Response snake_case → camelCase per schema

*Full story:* be-04-stories.md#BOM-BE-B-01"
Story,BOM-BE-B-03,(BOM) getBomStatus (cacheable master data) [BOM-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. Returns `[{code,description}]` from the status map
2. Second call served from cache (no REST)
3. Map key→`code`, value→`description`

*Full story:* be-04-stories.md#BOM-BE-B-03"
Story,BOM-BE-B-04,(BOM) getBomByParentId data fetcher [BOM-BE-B-04],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. Returns boms for `parentId` sorted `createdAt` DESC, sorted by the **backend**, not client code
2. Empty → `{content: []}`
3. No `sortedByDescending` (or equivalent) remains in the Kotlin data fetcher — sorting happens once, server-side

*Full story:* be-04-stories.md#BOM-BE-B-04"
Story,BOM-BE-B-05,(BOM) getBomMaterialTypes (merge with Material Hub) [BOM-BE-B-05],,Federate BreakDown Product,B,M,dgs-migration,bom,query,,SPIKE-06a,,To Do,"*Requires spike:* SPIKE-06a (Hydration) — see program spike

*Acceptance Criteria:*
1. Returns bom types + synthesized hub types
2. Hub rows carry `code=9, libraryLink=true, freeText=true, bomType={1,'Product'}`
3. The two fetches run concurrently
4. EXT hub failure → return bom types only (partial), logged

*Full story:* be-04-stories.md#BOM-BE-B-05"
Story,BOM-BE-B-06,(BOM) getBomPackagingMaterialTypes (cacheable) [BOM-BE-B-06],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. Returns packaging material types
2. Cached on second call

*Full story:* be-04-stories.md#BOM-BE-B-06"
Story,BOM-BE-B-07,(BOM) getBomPackagingSubstrates (cacheable) [BOM-BE-B-07],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. Returns substrate list
2. Cached

*Full story:* be-04-stories.md#BOM-BE-B-07"
Story,BOM-BE-B-08,(BOM) getBomPackagingUnitOfMeasure (cacheable) [BOM-BE-B-08],,Federate BreakDown Product,B,XS,dgs-migration,bom,query,,,,To Do,"*Acceptance Criteria:*
1. Returns UoM list
2. Cached

*Full story:* be-04-stories.md#BOM-BE-B-08"
Story,BOM-BE-C-01,(BOM) getBomElastic data fetcher [BOM-BE-C-01],,Federate BreakDown Product,C,XS,dgs-migration,bom,search,,,,To Do,"*Acceptance Criteria:*
1. Returns `content` boms for a query
2. Query DTO field set documented + matches backend
3. Empty → `[]`

*Full story:* be-04-stories.md#BOM-BE-C-01"
Story,BOM-BE-C-02,(BOM) searchMaterialsBom data fetcher [BOM-BE-C-02],,Federate BreakDown Product,C,M,dgs-migration,bom,search,,,,To Do,"*Acceptance Criteria:*
1. Returns `BomMaterialSearch{content,paging}`
2. With `nestedSearchFilters`, the request serializes to the same `nestedSearchFilters[i].*` keys as today (or the agreed structured DTO, once the search-request-shape decision has landed)
3. `size` defaults to 20
4. Fabric-supplier prefetch via service/federation, not a resolver import

*Full story:* be-04-stories.md#BOM-BE-C-02"
Story,BOM-BE-C-03,(BOM) getComboSupplierForBom data fetcher [BOM-BE-C-03],,Federate BreakDown Product,C,M,dgs-migration,bom,search,,,,To Do,"*Acceptance Criteria:*
1. Returns suppliers only for combos with a resolvable `fsId` and `bpName`
2. Filter logic matches the rule above (document the `mvIds.length===1` behaviour)
3. VMM lookups run concurrently

*Full story:* be-04-stories.md#BOM-BE-C-03"
Story,BOM-BE-C-04,(BOM) getValidTrimSuppliersForBom data fetcher [BOM-BE-C-04],,Federate BreakDown Product,C,XS,dgs-migration,bom,search,,,,To Do,"*Acceptance Criteria:*
1. Returns related trim-supplier partner ids
2. Role filter = TRIM_SUPPLIER only
3. Empty input → `[]`

*Full story:* be-04-stories.md#BOM-BE-C-04"
Story,BOM-BE-C-05,(BOM) getValidRawMaterialSuppliersForBom data fetcher [BOM-BE-C-05],,Federate BreakDown Product,C,XS,dgs-migration,bom,search,,,,To Do,"*Acceptance Criteria:*
1. Returns ids matching the 3 roles
2. Empty input → `[]`

*Full story:* be-04-stories.md#BOM-BE-C-05"
Story,BOM-BE-D-01,(BOM) addBom mutation [BOM-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,bom,mutation,,,,To Do,"*Acceptance Criteria:*
1. POST creates a bom and returns it mapped to `Bom`
2. Backend `validationErrors`/`message` → `BomValidationException` (not a silent return)
3. Request body is snake_case
4. Read cache primed with `humanId`

*Full story:* be-04-stories.md#BOM-BE-D-01"
Story,BOM-BE-D-02,(BOM) manageBomWorkspaces mutation [BOM-BE-D-02],,Federate BreakDown Product,D,XS,dgs-migration,bom,mutation,,,,To Do,"*Acceptance Criteria:*
1. Adds/removes workspace associations via the correct endpoint
2. Both lists empty → `null`, no REST call
3. Returns the updated bom

*Full story:* be-04-stories.md#BOM-BE-D-02"
Story,BOM-BE-D-03,(BOM) lockBom mutation [BOM-BE-D-03],,Federate BreakDown Product,D,XS,dgs-migration,bom,mutation,,,,To Do,"*Acceptance Criteria:*
1. PUT to `/lock` returns the locked bom
2. 404 → null

*Full story:* be-04-stories.md#BOM-BE-D-03"
Story,BOM-BE-D-04,(BOM) unlockBom mutation [BOM-BE-D-04],,Federate BreakDown Product,D,XS,dgs-migration,bom,mutation,,,,To Do,"*Acceptance Criteria:*
1. PUT to `/unlock` returns the unlocked bom
2. 404 → null

*Full story:* be-04-stories.md#BOM-BE-D-04"
Story,BOM-BE-D-05,(BOM) updateBomComponentStatus mutation [BOM-BE-D-05],,Federate BreakDown Product,D,XS,dgs-migration,bom,mutation,,,,To Do,"*Acceptance Criteria:*
1. PUT sends `{productId, ids, status}` (snake_case)
2. Returns `BomPaged{content}`

*Full story:* be-04-stories.md#BOM-BE-D-05"
Story,BOM-BE-E-01,(BOM) updateBom — 3-step orchestrated write [BOM-BE-E-01],,Federate BreakDown Product,E,XL,dgs-migration,bom,complex,,"SPIKE-01, D-02, product (`PRODUCT-BE-E-00`, the shared `WriteSaga` module)",,To Do,"*Requires spike:* SPIKE-01 (Non-Atomic Write Saga) — see program spike

*Acceptance Criteria:*
1. Parity for 5 fixtures: body-only; body+workspace-add; body+workspace-remove; body+partners; body+workspace+partners
2. Workspace step runs **before** the body PUT; permissions step only when `businessPartners` present
3. Body PUT omits `humanId` from the body
4. Failure strategy per ADR-013 §4-B implemented: a workspace-step failure after the body PUT compensates (dissociate/re-associate); a permissions-step failure retries then surfaces `PARTIAL_FAILURE` with per-step detail (stale ACL made visible, not silently swallowed)
5. Backend `validationErrors`/`message` → `BomValidationException`
6. Read cache updated with the returned bom

*Test Cases:*
* [ ] Unit: order workspace→body→perms
* [ ] Unit: no-workspace skip
* [ ] Unit: no-partners skip
* [ ] Unit: step-3 (permissions) failure path yields `PARTIAL_FAILURE` with per-step detail
* [ ] Parity: 5 fixtures

*Full story:* be-04-stories.md#BOM-BE-E-01

*Complex — broken into sub-tasks:* E-01-1 workspace-assoc + body PUT · E-01-2 permissions PUT + rollback framework

*Detailed cross-domain case:* complexStories/non-atomic-write-saga/ (import non-atomic-write-saga.csv for the sub-tasks)"
