Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for all 13 domains; each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,SPARK-SMPL-B01,(Sample) getSampleById(id) [SPARK-SMPL-B01],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,SPARK-SPIKE-05,To Do,"*Requires spike:* SPARK-SPIKE-05 (Polymorphic Type Resolution) — see program spike

*Current Behaviour:*
* (own) `getSampleById.load(id)`.

*Target:*
* `@DgsQuery → SampleV2`.

*Acceptance Criteria:*
1. returns sample; miss→null"
Story,SPARK-SMPL-B02,(Sample) getSamplesByIdsV2(ids) (batched) [SPARK-SMPL-B02],,Federate BreakDown Product,B,M,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* `batchParallelOperation(chunk)` → (ACL) token per batch → (own) `getSamplesByIdsV2ByPost`. **Side-effect:** exactly-one → (🔵 recentlyViewed) `addRecentlyViewed`.

*Target:*
* `@DgsQuery → [SampleV2]`; chunked.

*Acceptance Criteria:*
1. batched by chunk size
2. single → recentlyViewed"
Story,SPARK-SMPL-B03,(Sample) getSamplesByParentId(humanId) [SPARK-SMPL-B03],,Federate BreakDown Product,B,M,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* (🟡 relationship) `getByID({id, type:'sample', maxDepth:0})` → ids → (ACL) token → (own) `getSamplesByIdsV2`; empty → [].

*Target:*
* `@DgsQuery → [SampleV2]`.

*Acceptance Criteria:*
1. relationship→ids→samples chain"
Story,SPARK-SMPL-B04,(Sample) getColorSamplesByParentId(id) [SPARK-SMPL-B04],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* (own) `getColorSamplesByParentId.load(id)`.

*Target:*
* `@DgsQuery → [SampleV2]`.

*Acceptance Criteria:*
1. returns color samples"
Story,SPARK-SMPL-B05,(Sample) getSampleRounds(humanId) [SPARK-SMPL-B05],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* (ACL) token → (own) `getSampleRounds`.

*Target:*
* `@DgsQuery → [SampleV2]`.

*Acceptance Criteria:*
1. returns rounds"
Story,SPARK-SMPL-B06,(Sample) getSampleExports [SPARK-SMPL-B06],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* (own) `getSampleExports`.

*Target:*
* `@DgsQuery → [SampleExport]`.

*Acceptance Criteria:*
1. returns exports"
Story,SPARK-SMPL-B07,(Sample) getSampleNotificationErrors [SPARK-SMPL-B07],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* (🟡 notification) `getSampleNotificationErrors`.

*Target:*
* `@DgsQuery → [SampleNotificationError]`.

*Acceptance Criteria:*
1. returns errors"
Story,SPARK-SMPL-B08,(Sample) Master-data type/format/purpose queries (cacheable bundle) [SPARK-SMPL-B08],,Federate BreakDown Product,B,XS,dgs-migration,sample,query,,B01,To Do,"*Current Behaviour:*
* thin (own) master-data loads.

*Target:*
* `@DgsQuery` each → `@Cacheable`.

*Acceptance Criteria:*
1. each returns its list; cached"
Story,SPARK-SMPL-C01,(Sample) getSampleLocationByIds(ids) [SPARK-SMPL-C01],,Federate BreakDown Product,C,L,dgs-migration,sample,search,,B01,To Do,"*Current Behaviour:*
* batched samples → for each with `rfidTagIds` → (🔴 search) `searchLatestRfidLocations({q: tagIds OR-joined})` → reduce to latest `lastSeen` → `{id, locationDescription, lastSeen}`; flatten.

*Target:*
* `@DgsQuery → [RfidSampleLocation]`; batch tag queries.

*Acceptance Criteria:*
1. latest-location reduce correct
2. no tags → []

*Test Cases:*
* [ ] latest reduce
* [ ] no-tags
* [ ] Parity: DGS response matches spark-internal-graphql baseline"
