Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,MST-BE-B-01,(Measurement) getMeasurementByIds data fetcher [MST-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Acceptance Criteria:*
1. Returns measurements for ids with `calculated` flag forwarded
2. Empty ids → `[]`
3. snake→camel mapping

*Full story:* be-04-stories.md#MST-BE-B-01"
Story,MST-BE-B-02,(Measurement) getUnitsOfMeasure (cacheable) [MST-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Acceptance Criteria:*
1. Returns UoM list (optionally filtered by ids)
2. Cached

*Full story:* be-04-stories.md#MST-BE-B-02"
Story,MST-BE-B-03,(Measurement) getThicknessUnitsOfMeasure (cacheable) [MST-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Acceptance Criteria:*
1. Returns thickness UoM list
2. Cached

*Full story:* be-04-stories.md#MST-BE-B-03"
Story,MST-BE-B-04,(Measurement) getMeasurementSetStatus (cacheable) [MST-BE-B-04],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Acceptance Criteria:*
1. Returns statuses
2. Cached
3. key→code, value→description

*Full story:* be-04-stories.md#MST-BE-B-04"
Story,MST-BE-B-05,(Measurement) getSampleMeasurement data fetcher [MST-BE-B-05],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Acceptance Criteria:*
1. Returns the sample measurement set for `sampleId`
2. Not found → `null`

*Full story:* be-04-stories.md#MST-BE-B-05"
Story,MST-BE-B-06,(Measurement) getMeasurementTemplates + getMeasurementTemplatesByIds data fetchers [MST-BE-B-06],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Acceptance Criteria:*
1. `getMeasurementTemplates` returns a sorted, paged list honoring `page`/`size`
2. `getMeasurementTemplatesByIds` returns templates for the given ids
3. Empty ids → empty paged content

*Full story:* be-04-stories.md#MST-BE-B-06"
Story,MST-BE-B-07,(Measurement) getSizeTemplates + getSizeCategories + getMaterialTypes data fetchers [MST-BE-B-07],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Acceptance Criteria:*
1. `getSizeTemplates` resolves by id+version pairs
2. `getSizeCategories`/`getMaterialTypes` return the lookup lists, optionally filtered by ids, cached

*Full story:* be-04-stories.md#MST-BE-B-07"
Story,MST-BE-B-08,(Measurement) getTightFits + getTightFitByIdAndVersion data fetchers [MST-BE-B-08],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Acceptance Criteria:*
1. `getTightFits` filters by any combination of the given params
2. `getTightFitByIdAndVersion` resolves the exact version; not found → `null`

*Full story:* be-04-stories.md#MST-BE-B-08"
Story,MST-BE-B-09,(Measurement) searchSparkSizes data fetcher (NEXUS + Tag fan-out) [MST-BE-B-09],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Acceptance Criteria:*
1. Returns up to `size` results, Nexus + Spark tag sizes combined
2. Each result tagged with its `source`
3. Empty/no-match → `[]`

*Full story:* be-04-stories.md#MST-BE-B-09"
