Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Packaging → plm-product DGS migration,Packaging → plm-product DGS migration,,,,,dgs-migration,packaging,epic,,Epic for the packaging domain migration to the plm-product DGS.
Story,SPARK-PKG-A01,SPARK-PKG-A01 · Schema skeleton + DateTime scalar,,Packaging → plm-product DGS migration,A,Low,2,dgs-migration,packaging,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_Packaging.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`.
**Acceptance:** 1. `./gradlew generateJava` passes. 2. `DateTime` round-trips. **Tests:** ☐ compiles ☐ scalar serde."
Story,SPARK-PKG-A02,"SPARK-PKG-A02 · Owned types + inputs (~24 types, ~20 inputs)",,Packaging → plm-product DGS migration,A,Medium,3,dgs-migration,packaging,schema,SPARK-PKG-A01,"**Target:** `Packaging` (`@key(fields:""humanId"")`), `Dieline` (`@key(fields:""humanId"")`), the ~20 value
types and ~20 inputs — per [03-schema.graphql](./03-schema.graphql). Carry `@deprecated` directives
(`retailPrice`, `creativePath`, `resourceType`, `fileDeliveryEmail`, `Dieline.attachments`). **Acceptance:** 1. all types+inputs present; entities keyed on `humanId`; nullability matches SDL. 2. validates. **Tests:** ☐ validates ☐ entity stubs."
Story,SPARK-PKG-A03,SPARK-PKG-A03 · External stubs (platform + sibling DGS),,Packaging → plm-product DGS migration,A,Low,2,dgs-migration,packaging,schema,SPARK-PKG-A01,"**Target:** stubs `Attachment`, `SearchAttachment`, `WorkspaceV2`, `UserProfileAttributes`,
`UserGroup_Participants`, `AccessControl`, `VMM_BusinessPartner` + internal placeholders `Product`,
`ProductComponentStatus`, `SpgFileLibrary`. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-PKG-A04,SPARK-PKG-A04 · PackagingService port (packaging/v1),,Packaging → plm-product DGS migration,A,Medium,3,dgs-migration,packaging,service,SPARK-PKG-A01,"**Current Behaviour (Phase 2 §Service):** ~16 REST methods on `packaging/v1` (+ dielines + export).
**Target:** Kotlin service; preserve create/bulk throw-on-error and the `{content}` status wrap; snake/camel
at the Feign boundary. **Acceptance:** 1. methods present (POST, PUT, /dielines/{id}/evaluate, bulk add/update, GET listings, GET /{id}, /export, /{id}/lock|unlock, /component_status_update, /{id}/workspace_associations). 2. add throws on validation error. **Tests:** ☐ endpoint build ☐ create error ☐ status wrap.

---

### Phase B — Core Reads"
Story,SPARK-PKG-B01,SPARK-PKG-B01 · getPackagings,,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,"SPARK-PKG-A02, SPARK-PKG-A04","**Current Behaviour (Q1):** (own) `getPackagings().load({page,size,packagingIds,parentIds,workspaceIds,partnerIds,statusIds})` → paged. **Target:** `@DgsQuery → PackagingPaged`. **Acceptance:** 1. all 7 filter args forwarded; defaults page=0/size=10000. **Tests:** ☐ filters ☐ paging ☐ integration."
Story,SPARK-PKG-B02,SPARK-PKG-B02 · getPackagingById,,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,"SPARK-PKG-A02, SPARK-PKG-A04",**Current Behaviour (Q2):** (ACL context) token → (own) `getPackagingById.load(packagingId)`. **Target:** `@DgsQuery → Packaging`. **Acceptance:** 1. returns packaging; miss→null. **Tests:** ☐ happy ☐ miss.
Story,SPARK-PKG-B03,SPARK-PKG-B03 · getDielines,,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,"SPARK-PKG-A02, SPARK-PKG-A04",**Current Behaviour (Q3):** (own) `getDielines.load({...})` → `.dielines`. **Target:** `@DgsQuery → [Dieline]`. **Acceptance:** 1. filters forwarded; returns the `dielines` array. **Tests:** ☐ filters ☐ integration.
Story,SPARK-PKG-B04,SPARK-PKG-B04 · getPackagingFieldValuesByType,,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,SPARK-PKG-A04,"**Current Behaviour (Q4):** (own) `getPackagingFieldValuesByType(type, ids)`. **Target:** `@DgsQuery → [PackagingFieldValues]`. **Acceptance:** 1. by type (+optional ids). **Tests:** ☐ by type."
Story,SPARK-PKG-B05,SPARK-PKG-B05 · getDielineEvaluationStatuses (cacheable),,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,SPARK-PKG-A04,**Current Behaviour (Q5):** (own) `getDielineEvaluationStatuses()`. **Target:** `@DgsQuery` → `@Cacheable` → `[CodeDescription]`. **Acceptance:** 1. returns statuses; cached. **Tests:** ☐ list ☐ cache hit.
Story,SPARK-PKG-B06,SPARK-PKG-B06 · getCountries (cacheable),,Packaging → plm-product DGS migration,B,Low,2,dgs-migration,packaging,query,SPARK-PKG-A04,"**Current Behaviour (Q6):** (own) `getCountries(codes)`. **Target:** `@DgsQuery` → `@Cacheable` → `[Countries]`. **Acceptance:** 1. returns countries (optionally filtered by codes). **Tests:** ☐ all ☐ filtered.

---

### Phase C — Search & Listing"
Story,SPARK-PKG-C01,SPARK-PKG-C01 · getPackagingElastic,,Packaging → plm-product DGS migration,C,Medium,3,dgs-migration,packaging,query,SPARK-PKG-A04,"**Current Behaviour (Q7):** (🔴 search) `search.getPackagingElastic.load({ q:""parentId: {parentHumanId}"" })` → `.content`. **EXT:** 🔴 search. **Target:** `@DgsQuery → [Packaging]`. **Acceptance:** 1. `parentId:` elastic query built; returns content. **Tests:** ☐ query build ☐ parity.

---

### Phase D — Mutations (simple)"
Story,SPARK-PKG-D01,SPARK-PKG-D01 · addPackaging (throws on validationErrors),,Packaging → plm-product DGS migration,D,Medium,3,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M1):** (own) `POST packaging/v1`. **Throw on `validationErrors`/`message`.** **Target:** `@DgsMutation → Packaging`; port throw-on-error. **Acceptance:** 1. creates. 2. validation error → exception. **Tests:** ☐ create ☐ validation-error→throw.
Story,SPARK-PKG-D02,SPARK-PKG-D02 · evaluateDieline,,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M3):** (own) `PUT packaging/v1/dielines/{dielineId}/evaluate`. **Target:** `@DgsMutation → Dieline`. **Acceptance:** 1. evaluates the dieline. **Tests:** ☐ evaluate.
Story,SPARK-PKG-D03,SPARK-PKG-D03 · bulkAddPackagings,,Packaging → plm-product DGS migration,D,Medium,3,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M4):** (own) `bulkAddPackagings`. **Throw on `validationErrors`/`message`.** **Target:** `@DgsMutation → PackagingBulk`. **Acceptance:** 1. bulk creates. 2. error → throw. **Tests:** ☐ bulk ☐ error.
Story,SPARK-PKG-D04,SPARK-PKG-D04 · bulkUpdatePackagings,,Packaging → plm-product DGS migration,D,Medium,3,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M5):** token for `packaging[].humanId` → (own) `bulkUpdatePackagings`. **Throw on error.** **Target:** `@DgsMutation → PackagingBulk`. **Acceptance:** 1. bulk updates. 2. error → throw. **Tests:** ☐ bulk ☐ error.
Story,SPARK-PKG-D05,SPARK-PKG-D05 · exportPackaging,,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**Current Behaviour (M6):** token → (own) `requestPackagingExport({workspace_id, workspace_description, product_ids})` → request id. **Target:** `@DgsMutation → String`. **Acceptance:** 1. returns the export request id. **Tests:** ☐ request."
Story,SPARK-PKG-D06,SPARK-PKG-D06 · lockPackaging,,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M7):** token → `PUT packaging/v1/{id}/lock`. **Target:** `@DgsMutation → Packaging`. **Acceptance:** 1. locks. **Tests:** ☐ lock.
Story,SPARK-PKG-D07,SPARK-PKG-D07 · unlockPackaging,,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,**Current Behaviour (M8):** token → `PUT packaging/v1/{id}/unlock`. **Target:** `@DgsMutation → Packaging`. **Acceptance:** 1. unlocks. **Tests:** ☐ unlock.
Story,SPARK-PKG-D08,SPARK-PKG-D08 · cloneFilesForDielines,,Packaging → plm-product DGS migration,D,Medium,3,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**Current Behaviour (M9):** token → `Promise.all(attachmentIds.map(id => (🔴 attachment) cloneAttachmentV3({cloneReferences}, id)))`, flatten. **EXT:** 🔴 attachment. **Target:** structured-concurrency fan-out. **Acceptance:** 1. clones each id with the shared `cloneReferences`. **Tests:** ☐ clone ☐ parity."
Story,SPARK-PKG-D09,SPARK-PKG-D09 · updatePackagingComponentStatus (no JWT — confirm),,Packaging → plm-product DGS migration,D,Low,2,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**Current Behaviour (M10):** (own) `updatePackagingComponentStatus({productId, ids, status})`. **No JWT — confirm backend-enforced.** **Target:** `@DgsMutation → PackagingPagedForStatus`. **Acceptance:** 1. updates statuses. 2. no-token behaviour documented. **Tests:** ☐ update.

---

### Phase E — Complex Operations"
Story,SPARK-PKG-E01,"SPARK-PKG-E01 · updatePackaging (multi-step: body + attachment add/remove, non-atomic)",,Packaging → plm-product DGS migration,E,High,5,dgs-migration,packaging,mutation,SPARK-PKG-A04,"**As a** DGS engineer **I want** the multi-step packaging update with a failure strategy **so that** body and
attachment add/remove changes stay consistent.
**Current Behaviour (M2):** 1) token; set `humanId=packagingId`; `PUT packaging/v1` (body); 2) if
`attachmentsToRemove` → (🔴 attachment) `archiveAttachmentBulkV2` + (🟡 relationship) `removeRelationship`;
3) if `attachmentsToAdd` → (🟡 relationship) `addBulkRelationShip` (**reject on status≥400**) then
(🔴 attachment) `bulkUpdateAttributes`; 4) **throw on `validationErrors`/`message`**. No rollback.
**EXT:** 🔴 attachment · 🟡 relationship. **Target:** ordered steps + chosen failure strategy
(**PO decision**); **align** the add/remove error handling (the remove branch currently swallows errors).
**Acceptance:** 1. all branches in order. 2. add rejects on status≥400; remove error handling decided. 3. partial-failure strategy. **Tests:** ☐ body-only ☐ remove ☐ add ☐ status≥400 ☐ partial-failure ☐ parity.

---

### Phase F — Federation (internal)"
Story,SPARK-PKG-F01,"SPARK-PKG-F01 · Product packaging links (INTERNAL, same subgraph)",,Packaging → plm-product DGS migration,F,Low,2,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** Product references packaging (e.g. `components(...packaging)`, packaging attributes)
from the co-located packaging service. **Target:** **internal** `@DgsData` calling `PackagingService`
in-process (not gateway federation; depends only on the `Product`/`Component` types existing). **Acceptance:** 1. resolves in-process; no gateway hop. **Tests:** ☐ resolves ☐ parity.

---

### Phase G — Field Resolvers & Tests"
Story,SPARK-PKG-G01,SPARK-PKG-G01 · access + businessPartner + participantDetails,,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,field-resolver,"SPARK-PKG-A02, SPARK-PKG-A04","**Current Behaviour:** `access` → `accessControl.getPermissions([humanId])[0]` (context); `businessPartner`
→ (🔵 vmm) `loadBpsWithType([businessPartner])[0]`; `participantDetails` → `getUserGroup(humanId||id)`. **Acceptance:** 1. each resolves; null-safe. **Tests:** ☐ access ☐ bp ☐ participants."
Story,SPARK-PKG-G02,SPARK-PKG-G02 · createdBy + updatedBy + dielineEvaluators,,Packaging → plm-product DGS migration,G,Low,2,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `createdBy`/`updatedBy` (🟡 user-profile `getUser`); `dielineEvaluators` → map
`userAttributes.getUserByID`, default `[]`. **Acceptance:** 1. each resolves; null id → null. **Tests:** ☐ users ☐ evaluators."
Story,SPARK-PKG-G03,SPARK-PKG-G03 · product + workspaces + attachments,,Packaging → plm-product DGS migration,G,Medium,3,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `product` (internal, only if `parentId` starts `'PID'`); `workspaces`
→ (🔴 search) `getWorkspacesPagedV3({q:""id:(...)""})`.content; `attachments`
→ (🔴 search) `searchAttachmentsByRelatedResource(humanId)`. **Acceptance:** 1. `product` null when not `PID*`. 2. workspaces/attachments via elastic. **Tests:** ☐ product branch ☐ workspaces ☐ attachments."
Story,SPARK-PKG-G04,SPARK-PKG-G04 · suggestedRetailPriceByDPCI + waveDescription + retailPrice,,Packaging → plm-product DGS migration,G,High,5,dgs-migration,packaging,field-resolver,SPARK-PKG-A04,"**Current Behaviour:** `suggestedRetailPriceByDPCI` — gated on `requiresSuggestedRetailPrice` + a BP id:
collect printer ids from `packagingElements` → (own) `getDielines(printerIds)` → unique dpcis →
(🔵 apex/pricing) `getRetailPriceByDpci({dpcis, bpId, productId})`; else `[]`. `waveDescription`
→ (🟡 tag) `getTag(wave).name` if `wave`, else `waveDescription`. `retailPrice` → `0` (deprecated). **Target:** port the pricing chain; cache/batch dielines. **Acceptance:** 1. price chain matches source; gate honored. 2. wave tag fallback. 3. `retailPrice`→0. **Tests:** ☐ price chain ☐ gate ☐ wave ☐ retailPrice."
