Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,PKG-BE-B-01,(Packaging) getPackagings(...) [PKG-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,,,To Do,"*Acceptance Criteria:*
1. all 7 filter args forwarded; defaults page=0/size=10000

*Full story:* be-04-stories.md#PKG-BE-B-01"
Story,PKG-BE-B-02,(Packaging) getPackagingById(packagingId) [PKG-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns packaging; miss→null

*Full story:* be-04-stories.md#PKG-BE-B-02"
Story,PKG-BE-B-03,(Packaging) getDielines(...) [PKG-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,B-01,,To Do,"*Acceptance Criteria:*
1. filters forwarded; returns the `dielines` array

*Full story:* be-04-stories.md#PKG-BE-B-03"
Story,PKG-BE-B-04,"(Packaging) getPackagingFieldValuesByType(type, ids) [PKG-BE-B-04]",,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,B-01,,To Do,"*Acceptance Criteria:*
1. by type (+optional ids)

*Full story:* be-04-stories.md#PKG-BE-B-04"
Story,PKG-BE-B-05,(Packaging) getDielineEvaluationStatuses (cacheable) [PKG-BE-B-05],,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns statuses; cached

*Full story:* be-04-stories.md#PKG-BE-B-05"
Story,PKG-BE-B-06,(Packaging) getCountries(codes) (cacheable) [PKG-BE-B-06],,Federate BreakDown Product,B,XS,dgs-migration,packaging,query,,B-01,,To Do,"*Acceptance Criteria:*
1. returns countries (optionally filtered by codes)

*Full story:* be-04-stories.md#PKG-BE-B-06"
Story,PKG-BE-C-01,(Packaging) getPackagingElastic(parentHumanId) [PKG-BE-C-01],,Federate BreakDown Product,C,M,dgs-migration,packaging,search,,B-01,,To Do,"*Acceptance Criteria:*
1. `parentId:` elastic query built; returns content

*Full story:* be-04-stories.md#PKG-BE-C-01"
Story,PKG-BE-D-01,(Packaging) addPackaging [PKG-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. creates
2. validation error → exception

*Full story:* be-04-stories.md#PKG-BE-D-01"
Story,PKG-BE-D-02,(Packaging) evaluateDieline [PKG-BE-D-02],,Federate BreakDown Product,D,XS,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. evaluates the dieline

*Full story:* be-04-stories.md#PKG-BE-D-02"
Story,PKG-BE-D-03,(Packaging) bulkAddPackagings [PKG-BE-D-03],,Federate BreakDown Product,D,M,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. bulk creates
2. error → throw

*Full story:* be-04-stories.md#PKG-BE-D-03"
Story,PKG-BE-D-04,(Packaging) bulkUpdatePackagings [PKG-BE-D-04],,Federate BreakDown Product,D,M,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. bulk updates
2. error → throw

*Full story:* be-04-stories.md#PKG-BE-D-04"
Story,PKG-BE-D-05,(Packaging) exportPackaging [PKG-BE-D-05],,Federate BreakDown Product,D,XS,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. returns the export request id

*Full story:* be-04-stories.md#PKG-BE-D-05"
Story,PKG-BE-D-06,(Packaging) lockPackaging [PKG-BE-D-06],,Federate BreakDown Product,D,XS,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. locks

*Full story:* be-04-stories.md#PKG-BE-D-06"
Story,PKG-BE-D-07,(Packaging) unlockPackaging [PKG-BE-D-07],,Federate BreakDown Product,D,XS,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. unlocks

*Full story:* be-04-stories.md#PKG-BE-D-07"
Story,PKG-BE-D-08,(Packaging) cloneFilesForDielines [PKG-BE-D-08],,Federate BreakDown Product,D,M,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. clones each id with the shared `cloneReferences`

*Full story:* be-04-stories.md#PKG-BE-D-08"
Story,PKG-BE-D-09,(Packaging) updatePackagingComponentStatus [PKG-BE-D-09],,Federate BreakDown Product,D,XS,dgs-migration,packaging,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. updates statuses
2. no-token behaviour documented

*Full story:* be-04-stories.md#PKG-BE-D-09"
