Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,Complexity,Story point estimate,Labels,Labels,Labels,Depends On,Description
Epic,,Sample → plm-sample DGS migration,Sample → plm-sample DGS migration,,,,,dgs-migration,sample,epic,,Epic for the sample domain migration to the plm-product DGS.
Story,SPARK-SMPL-A01,SPARK-SMPL-A01 · Schema skeleton + DateTime scalar,,Sample → plm-sample DGS migration,A,Low,2,dgs-migration,sample,schema,,"**Current Behaviour:** green-field; schema translated from `code/schemas/SPARK_SampleV2.txt`.
**Target:** federation v2.3 header, `scalar DateTime → Instant`, empty `extend type Query`/`Mutation`. **Acceptance:** 1. `generateJava` passes. 2. scalar round-trips. **Tests:** ☐ compiles ☐ serde."
Story,SPARK-SMPL-A02,SPARK-SMPL-A02 · Owned types + inputs (wide SampleV2 surface),,Sample → plm-sample DGS migration,A,High,5,dgs-migration,sample,schema,SPARK-SMPL-A01,"**Target:** `SampleV2` (`@key(fields:""id"")`) + ~24 value types + ~10 inputs per [03-schema.graphql](./03-schema.graphql); `@shareable` on `CodeDescription`/`SampleCodeDescriptionV2`/`Participants`. Expand the remaining SDL value types. **Acceptance:** 1. all types/inputs present; nullability matches SDL. 2. validates. **Tests:** ☐ validates ☐ entity stub."
Story,SPARK-SMPL-A03,SPARK-SMPL-A03 · External stubs (platform + other DGS),,Sample → plm-sample DGS migration,A,Medium,3,dgs-migration,sample,schema,SPARK-SMPL-A01,"**Target:** `@extends @external` stubs for `Product`, `WorkspaceV2`, `SampleMeasurementSet`, `Attachment`,
`Trim`, `ColorArchroma`, `Color`, `Artwork`, `FabricSpecCombo`, `FabricSpecification`, `Material`, `Role`,
`UserProfileAttributes`, `Spark_AsapEvaluation`, `VMM_*`, `IG_Department`, `Tag`. **Acceptance:** 1. compiles; gateway composes. **Tests:** ☐ compiles ☐ stub resolves."
Story,SPARK-SMPL-A04,SPARK-SMPL-A04 · SampleAsset union @DgsTypeResolver (Color | Artwork),,Sample → plm-sample DGS migration,A,Medium,3,dgs-migration,sample,field-resolver,"SPARK-SMPL-A02, SPARK-SMPL-A03","**Current Behaviour (`__resolveType`):** `isColorId(humanId)` → `Color`; Artworks-prefix → `Artwork`; else null. **Target:** `@DgsTypeResolver(name=""SampleAsset"")` mirroring the prefix logic. **Acceptance:** 1. Color/Artwork map correctly; unknown → null. **Tests:** ☐ color ☐ artwork ☐ unknown."
Story,SPARK-SMPL-A05,SPARK-SMPL-A05 · SampleServiceV2 port (samples/v2),,Sample → plm-sample DGS migration,A,High,5,dgs-migration,sample,service,SPARK-SMPL-A01,"**Current Behaviour (Phase 2 §Service):** ~30 REST methods on `samples/v2` (+ export). **Target:** Kotlin
service; preserve the `systemGenerated`/`systemUser` branch and batched by-ids. **Acceptance:** 1. methods present (by-id/byPost, rounds, master-data, create/update/round/workspace-assoc, drop/undrop service-level, exports, rfid, color samples). **Tests:** ☐ endpoint build ☐ batch ☐ master-data.

---

### Phase B — Core Reads"
Story,SPARK-SMPL-B01,SPARK-SMPL-B01 · getSampleById,,Sample → plm-sample DGS migration,B,Low,2,dgs-migration,sample,query,"SPARK-SMPL-A02, SPARK-SMPL-A05",**Current Behaviour:** (own) `getSampleById.load(id)`. **Target:** `@DgsQuery → SampleV2`. **Acceptance:** 1. returns sample; miss→null. **Tests:** ☐ happy ☐ miss.
Story,SPARK-SMPL-B02,SPARK-SMPL-B02 · getSamplesByIdsV2 (batched + recentlyViewed side-effect),,Sample → plm-sample DGS migration,B,Medium,3,dgs-migration,sample,query,SPARK-SMPL-A05,**Current Behaviour (Q2):** `batchParallelOperation(chunk)` → (ACL) token per batch → (own) `getSamplesByIdsV2ByPost`. **Side-effect:** exactly-one → (🔵 recentlyViewed) `addRecentlyViewed`. **Target:** `@DgsQuery → [SampleV2]`; chunked. **Acceptance:** 1. batched by chunk size. 2. single → recentlyViewed. **Tests:** ☐ batch ☐ recentlyViewed ☐ parity.
Story,SPARK-SMPL-B03,SPARK-SMPL-B03 · getSamplesByParentId (relationship),,Sample → plm-sample DGS migration,B,Medium,3,dgs-migration,sample,query,SPARK-SMPL-A05,"**Current Behaviour (Q3):** (🟡 relationship) `getByID({id, type:'sample', maxDepth:0})` → ids → (ACL) token → (own) `getSamplesByIdsV2`; empty → []. **Target:** `@DgsQuery → [SampleV2]`. **Acceptance:** 1. relationship→ids→samples chain. **Tests:** ☐ chain ☐ empty."
Story,SPARK-SMPL-B04,SPARK-SMPL-B04 · getColorSamplesByParentId,,Sample → plm-sample DGS migration,B,Low,2,dgs-migration,sample,query,SPARK-SMPL-A05,**Current Behaviour:** (own) `getColorSamplesByParentId.load(id)`. **Target:** `@DgsQuery → [SampleV2]`. **Acceptance:** 1. returns color samples. **Tests:** ☐ happy.
