Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,MST-BE-B-01,(Measurement) getMeasurementByIds data fetcher [MST-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Implementation Order:* 1 of 30 (Measurement backend, step 1)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* No

*Depends On:*
* None

*Blocks:*
* MST-BE-B-02 — getUnitsOfMeasure
* MST-BE-B-03 — getThicknessUnitsOfMeasure
* MST-BE-B-04 — getMeasurementSetStatus
* MST-BE-B-05 — getSampleMeasurement data fetcher
* MST-BE-C-01 — getMeasurements data fetcher
* MST-BE-C-02 — getMeasurementsElastic data fetcher
* MST-BE-D-01 — addMeasurement mutation
* MST-BE-D-02 — updateMeasurementAccess mutation
* MST-BE-D-03 — lockMeasurementSet mutation
* MST-BE-D-04 — unlockMeasurementSet mutation
* MST-BE-D-05 — updateMeasurementComponentStatus mutation
* MST-BE-D-06 — putSampleMeasurementSet mutation
* MST-BE-D-07 — deleteSampleMeasurementSet mutation
* MST-BE-E-01 — updateMeasurement — 2-step orchestrated write
* MST-BE-F-01 — Implement Product.measurementSets
* MST-BE-H-01 — Contribute sampleMeasurement to the SampleV2 entity
* MST-BE-G-01 — Measurement field resolvers
* MST-BE-G-02 — SampleMeasurementSet field resolvers
* MST-FE-001

*Current Behaviour:*
* `GET {base}/…/measurements/v1?ids=&calculated=&mustHaveRows=` → camelCase. **ACL note (context):** token for `ids`; ignored in DGS.

*Target:*
* `@DgsQuery getMeasurementByIds(ids, calculated): MeasurementPaged` (SDL: paged `{content}`, not a bare list) → `measurementService.getByIds(ids, calculated)`. Add a `MeasurementDataLoader` keyed on id. - **Files:** `dataFetcher/MeasurementQueryDataFetcher.kt`.

*Acceptance Criteria:*
1. Returns measurements for ids with `calculated` flag forwarded
2. Empty ids → `[]`
3. snake→camel mapping

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-02,(Measurement) getUnitsOfMeasure (cacheable) [MST-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Implementation Order:* 2 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* MST-BE-B-01 — getMeasurementByIds data fetcher

*Blocks:*
* MST-BE-G-04 — SampleMeasurementSet.sample forward reference
* MST-FE-003

*Current Behaviour:*
* `GET {base}/…/master_data/unit_of_measure[?ids=]` → `units_of_measure` camelCase.

*Target:*
* `@DgsQuery` → `@Cacheable` service method returning `[UnitOfMeasure]`.

*Acceptance Criteria:*
1. Returns UoM list (optionally filtered by ids)
2. Cached

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-03,(Measurement) getThicknessUnitsOfMeasure (cacheable) [MST-BE-B-03],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Implementation Order:* 3 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* MST-BE-B-01 — getMeasurementByIds data fetcher

*Blocks:*
* MST-FE-003

*Current Behaviour:*
* `GET {base}/…/master_data/thickness_uom` → `units_of_measure`.

*Target:*
* `@DgsQuery` → `@Cacheable` returning `[UnitOfMeasure]`.

*Acceptance Criteria:*
1. Returns thickness UoM list
2. Cached

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-04,(Measurement) getMeasurementSetStatus (cacheable) [MST-BE-B-04],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Implementation Order:* 4 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* MST-BE-B-01 — getMeasurementByIds data fetcher

*Blocks:*
* MST-FE-001

*Current Behaviour:*
* `GET {base}/masterData?name=MeasurementSetStatus` → `{key:value}` map → `[{code, description}]`.

*Target:*
* `@DgsQuery` → `@Cacheable` mapping the map to the list.

*Acceptance Criteria:*
1. Returns statuses
2. Cached
3. key→code, value→description

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-05,(Measurement) getSampleMeasurement data fetcher [MST-BE-B-05],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,B-01,,To Do,"*Implementation Order:* 5 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* MST-BE-B-01 — getMeasurementByIds data fetcher

*Blocks:*
* MST-BE-G-04 — SampleMeasurementSet.sample forward reference

*Current Behaviour:*
* `GET {base}/…/measurements/v1/sample/{sampleId}` → camelCase. **ACL note (context):** token for `sampleId`; ignored in DGS.

*Target:*
* `@DgsQuery getSampleMeasurement(sampleId): SampleMeasurementSet` (SDL: a single object, not a list).

*Acceptance Criteria:*
1. Returns the sample measurement set for `sampleId`
2. Not found → `null`

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-06,(Measurement) getMeasurementTemplates + getMeasurementTemplatesByIds data fetchers [MST-BE-B-06],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Implementation Order:* 6 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* None

*Blocks:*
* MST-BE-D-08 — addMeasurementTemplate + updateMeasurementTemplate + deleteMeasurementTemplate mutations
* MST-BE-G-01 — Measurement field resolvers
* MST-BE-G-05 — MeasurementTemplate field resolvers

*Current Behaviour:*
* `getMeasurementTemplates(page, size)` → `GET {base}/…/measurement/templates/v1?…&sort=createdAt,desc` (falsy params stripped, array params comma-joined) → camelCase, paged. `getMeasurementTemplatesByIds(ids)` → `GET {base}/…/measurement/templates/v1?ids=` → camelCase, paged.

*Target:*
* `@DgsQuery getMeasurementTemplates(page, size): MeasurementTemplatesPaged`; `@DgsQuery getMeasurementTemplatesByIds(ids): MeasurementTemplatesPaged` → `measurementTemplateService.getTemplates(...)` / `getByIds(ids)`. - **Files:** `dataFetcher/MeasurementTemplateQueryDataFetcher.kt`.

*Acceptance Criteria:*
1. `getMeasurementTemplates` returns a sorted, paged list honoring `page`/`size`
2. `getMeasurementTemplatesByIds` returns templates for the given ids
3. Empty ids → empty paged content

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-07,(Measurement) getSizeTemplates + getSizeCategories + getMaterialTypes data fetchers [MST-BE-B-07],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Implementation Order:* 7 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* None

*Blocks:*
* MST-BE-D-09 — addSizeTemplate + updateSizeTemplate mutations
* MST-BE-G-01 — Measurement field resolvers
* MST-BE-G-06 — SizeTemplate field resolvers

*Current Behaviour:*
* `getSizeTemplates(ids)` → `POST {base}/…/size_templates/v1/search` (id+version pairs) → camelCase. `getSizeCategories(ids)` → `GET {masterDataBase}/size_category[?ids=]` → `size_categories` camelCase (*cacheable*). `getMaterialTypes(ids)` → `GET {masterDataBase}/material_type[?ids=]` → `material_types` camelCase (*cacheable*).

*Target:*
* `@DgsQuery getSizeTemplates(ids: [VersionableIdInput]!): [SizeTemplate]`; `@DgsQuery getSizeCategories(ids): [CodeDescription]` and `getMaterialTypes(ids): [CodeDescription]` → `@Cacheable` service methods. - **Files:** `dataFetcher/SizeTemplateQueryDataFetcher.kt`.

*Acceptance Criteria:*
1. `getSizeTemplates` resolves by id+version pairs
2. `getSizeCategories`/`getMaterialTypes` return the lookup lists, optionally filtered by ids, cached

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-08,(Measurement) getTightFits + getTightFitByIdAndVersion data fetchers [MST-BE-B-08],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Implementation Order:* 8 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* None

*Blocks:*
* MST-BE-D-10 — addTightFit + updateTightFit mutations
* MST-BE-G-01 — Measurement field resolvers
* MST-BE-G-07 — TightFit field resolvers

*Current Behaviour:*
* `getTightFits(ids, name, statusIds, brandIds, divisionIds, departmentIds)` → `GET {base}/…/tightfit/v1/search?…` (qs-stringified) → camelCase, wrapped `{tightFits}`. `getTightFitByIdAndVersion(id, version)` → `GET {base}/…/tightfit/v1/{id}/versions/{version}` (non-batching DataLoader) → camelCase.

*Target:*
* `@DgsQuery getTightFits(...): TightFitsResponse`; `@DgsQuery getTightFitByIdAndVersion(id, version): TightFit` (composite key `id version`). - **Files:** `dataFetcher/TightFitQueryDataFetcher.kt`.

*Acceptance Criteria:*
1. `getTightFits` filters by any combination of the given params
2. `getTightFitByIdAndVersion` resolves the exact version; not found → `null`

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
Story,MST-BE-B-09,(Measurement) searchSparkSizes data fetcher (NEXUS + Tag fan-out) [MST-BE-B-09],,Federate BreakDown Product,B,XS,dgs-migration,measurement,query,,,,To Do,"*Implementation Order:* 9 of 30 (Measurement backend, step 2)
*Domain:* Measurement — *Team:* Backend — *Owner:* BE-2
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* None

*Blocks:*
* None

*Current Behaviour:*
* Fans out in parallel: `NEXUS_Attributes.Query.searchSizes(nameFilter, page:0, size)` (🔵 platform, gateway stitch) tagged `source:'Nexus'`, and `SPARK_Tag.Query.searchTags(type:'SIZE', archived:false, search:nameFilter, page:0, size)` (co-located `tag` sub-domain) tagged `source:'Spark'`; results concatenated and sliced to `size`. **No own REST endpoint.** - **EXT Service Calls:** **EXT** → key: `NEXUS_Attributes` · severity: 🔵 — gateway-stitched platform size lookup.

*Target:*
* `@DgsQuery searchSparkSizes(nameFilter, size): [Sizes]` → parallel call to the NEXUS gateway stub + the co-located `tag` service; merge and slice. - **Files:** `dataFetcher/SizesQueryDataFetcher.kt`.

*Acceptance Criteria:*
1. Returns up to `size` results, Nexus + Spark tag sizes combined
2. Each result tagged with its `source`
3. Empty/no-match → `[]`

*Definition of Done:*
* PR merged on green (unit + parity tests pass)
* Schema change pushed to Hive; operation(s) resolvable through the federated router
* Response shape parity with the legacy gateway (no client-visible change)"
