Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,External Dependency,Status,Description
Epic,,Federate BreakDown Product,Federate BreakDown Product,,,,dgs-migration,all-domains,epic,,,,,"Umbrella epic for the spark-internal-graphql to Netflix DGS federated GraphQL migration. Holds the stories and spikes for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); each story summary is prefixed with its domain (e.g. [BOM], [Product])."
Story,IMPRESSION-BE-B-01,(Impression) searchImpressionsByProductId data fetcher [IMPRESSION-BE-B-01],,Federate BreakDown Product,B,XS,dgs-migration,impression,query,,,,To Do,"*Acceptance Criteria:*
1. `searchImpressionsByProductId(id)` returns impressions list; empty product → `[]`
2. `partnerIds` and `workspaceIds` are forwarded as **repeated** query params (not CSV)
3. `enableWorkspaceContextFiltering` intent is documented in code (forwarded or intentionally ignored)
4. `./gradlew generateJava` passes and `DateTime` round-trips ISO-8601. *(One-time gate — verify once in this PR.)*

*Full story:* be-04-stories.md#IMPRESSION-BE-B-01"
Story,IMPRESSION-BE-B-02,(Impression) getImpressionCountsByProductId data fetcher [IMPRESSION-BE-B-02],,Federate BreakDown Product,B,XS,dgs-migration,impression,query,,B-01,,To Do,"*Acceptance Criteria:*
1. Returns the impressions list as the `ImpressionCount` parent type
2. The contract decision (list-as-parent vs typed result) is recorded in story comments
3. Empty product → `counts` yields `totalCount: 0` (verified by G-02)

*Full story:* be-04-stories.md#IMPRESSION-BE-B-02"
Story,IMPRESSION-BE-D-01,(Impression) updateImpressions mutation [IMPRESSION-BE-D-01],,Federate BreakDown Product,D,M,dgs-migration,impression,mutation,,B-01,,To Do,"*Acceptance Criteria:*
1. PUT body includes both delete and update sets in snake_case
2. Response is mapped to camelCase and returned as `List<Impression>`
3. Backend `validationErrors` or `message` → typed `ImpressionValidationException` thrown (not a silent partial return)

*Full story:* be-04-stories.md#IMPRESSION-BE-D-01"
Story,IMPRESSION-BE-F-01,(Impression) Product.impressions / impressionCounts (internal field resolver) [IMPRESSION-BE-F-01],,Federate BreakDown Product,F,XS,dgs-migration,impression,field-resolver,,"B-01, product (`PRODUCT-BE-B-01`, exposes the field this story reads)",,To Do,"*Acceptance Criteria:*
1. `Product.impressions` and `Product.impressionCounts` resolve in-process via `impressionService`
2. No HTTP call is made during resolution (verified by unit test mock)
3. Output matches the current product-side resolver (parity)
4. Field resolver uses a `MappedBatchLoader<String, List<SPARK_Impression>>` (`impressionByProductIdLoader`) — when the parent query returns N products, impressions are resolved in 1 batched call (not N)

*Full story:* be-04-stories.md#IMPRESSION-BE-F-01"
Story,IMPRESSION-BE-G-01,(Impression) Impression field resolvers (5 fields) [IMPRESSION-BE-G-01],,Federate BreakDown Product,G,XS,dgs-migration,impression,field-resolver,,B-01,"user-profile, vmm, workspaceV2",To Do,"*Acceptance Criteria:*
1. `businessPartners` and `owningBusinessPartner` resolve correctly from `partnerIds` / `owningPartnerId`
2. `workspaces` returns `[]` when `workspaceContext` is empty; the workspace service is not called
3. `createdBy` / `updatedBy`: `null` id returns `null` — no exception thrown

*Full story:* be-04-stories.md#IMPRESSION-BE-G-01"
Story,IMPRESSION-BE-G-02,(Impression) ImpressionCount.counts aggregation [IMPRESSION-BE-G-02],,Federate BreakDown Product,G,M,dgs-migration,impression,field-resolver,,B-01,,To Do,"*Acceptance Criteria:*
1. One row per product partner containing the correct filtered impression count
2. Final row is always `{ bpType: 'totalCount', counts: <total impressions length> }`
3. Empty impressions list or missing product → `[{ bpType: 'totalCount', counts: 0 }]` — no exception is propagated
4. Product is fetched in-process; no HTTP call is made

*Full story:* be-04-stories.md#IMPRESSION-BE-G-02"
Story,IMPRESSION-BE-G-04,"(Impression) attachment entity reference (recommended, PO-gated) [IMPRESSION-BE-G-04]",,Federate BreakDown Product,G,XS,dgs-migration,impression,field-resolver,,B-01,,Recommended (PO-gated — federation-review/03 §2 REC-2),"*Acceptance Criteria:*
1. PO approval recorded (OQ-5) before implementation starts
2. `attachment { id }` resolves as a stub; `attachmentId` unchanged (parity)
3. Null-safe when `attachmentId` is absent

*Full story:* be-04-stories.md#IMPRESSION-BE-G-04"
Epic,,Federate BreakDown Product — Frontend,Federate BreakDown Product — Frontend,,,,fed-graphql-fe,frontend,epic,,,,,"Umbrella epic for the pdex-ui-react frontend migration to the federated GraphQL gateway. Holds the frontend stories for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); platform enablement (flag, codegen, cache remap, fragment sweep, dynamic-gql expansion) is already complete. Every story lists the backend stories it depends on; a frontend story is Done only after its backend dependencies are delivered."
Story,IMPRESSION-FE-001,[Impression FE] Migrate `getBomDataAndImpressions` (with BOM wave) [IMPRESSION-FE-001],,Federate BreakDown Product — Frontend,FE,S,fed-graphql-fe,impression,query-migration,,BOM-BE-A-04 BOM-BE-B-01 BOM-BE-B-03 BOM-BE-G-01 BOM-BE-G-03 BOM-BE-G-08 BOM-BE-G-12 BOM-BE-G-13 BOM-BE-G-17 BOM-FE-002 IMPRESSION-BE-B-01 IMPRESSION-BE-G-01 PRODUCT-BE-B-01,"user-profile, vmm, workspaceV2",To Do,"*Implementation Order:* 8 of 9 (Impression combined — frontend #1, cutover step 4)
*Domain:* Impression — *Team:* Frontend — *Owner:* FE-2
*Priority:* Low — *Parallelizable:* No

*Depends On:*
* BOM-BE-A-04
* BOM-BE-B-01
* BOM-BE-B-03
* BOM-BE-G-01
* BOM-BE-G-03
* BOM-BE-G-08
* BOM-BE-G-12
* BOM-BE-G-13
* BOM-BE-G-17
* BOM-FE-002
* IMPRESSION-BE-B-01 — searchImpressionsByProductId data fetcher
* IMPRESSION-BE-G-01 — Impression field resolvers
* PRODUCT-BE-B-01

*Blocks:*
* None

* *Type:* Query migration · *Impact:* Low · *Domain:* impression
* *Depends on:* BOM-BE-A-04, BOM-BE-B-01, BOM-BE-B-03, BOM-BE-G-01, BOM-BE-G-03, BOM-BE-G-08, BOM-BE-G-12, BOM-BE-G-13, BOM-BE-G-17, BOM-FE-002, IMPRESSION-BE-B-01, IMPRESSION-BE-G-01, PRODUCT-BE-B-01
* *Operations:* {{searchImpressionsByProductId}}, {{getBomByIds}}

* *Business objective:*
** The combined BOM + impressions view keeps one round trip and identical data.
* *Technical objective:*
** Migrate the cross-domain document when both roots are on the router (per [fe-07-network-call-analysis.md §2.1](./fe-07-network-call-analysis.md) — no interim split).
* *Background / current implementation:*
** One document selects {{getBomByIds}} and {{searchImpressionsByProductId}}; impression sub-type polymorphism (5 types) needs the regenerated {{possibleTypes}} map (ADR-017 — 🟠 draft).
* *Required changes:*
** Re-point after BOM-FE-002 lands; inline-fragment selections verified against federated impression sub-types.

*Acceptance Criteria*

1. Combined view renders identically in one request under the flag.
2. All 5 impression sub-types resolve correctly in cache.

*Testing*

* Fixtures covering each sub-type; view integration test.

* *Risk:* Low.
* *Estimated effort:* 2–3 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,IMPRESSION-FE-002,[Impression FE] Migrate `getCarryForwardFormData` (with Product wave) [IMPRESSION-FE-002],,Federate BreakDown Product — Frontend,FE,S,fed-graphql-fe,impression,query-migration,,BOM-BE-A-04 BOM-BE-B-01 BOM-BE-B-03 BOM-BE-G-01 BOM-BE-G-03 BOM-BE-G-08 BOM-BE-G-12 BOM-BE-G-13 BOM-BE-G-17 IMPRESSION-BE-B-01 IMPRESSION-BE-G-01 PRODUCT-BE-B-01 PRODUCT-BE-G-01 PRODUCT-BE-G-02 PRODUCT-BE-G-03 PRODUCT-BE-G-06 PRODUCT-BE-G-07 PRODUCT-BE-G-08 PRODUCT-BE-G-09 PRODUCT-BE-G-10 PRODUCT-BE-G-13 PRODUCT-BE-S-01 PRODUCT-FE-001,"user-profile, vmm, workspaceV2",To Do,"*Implementation Order:* 9 of 9 (Impression combined — frontend #2, cutover step 5)
*Domain:* Impression — *Team:* Frontend — *Owner:* FE-2
*Priority:* Low — *Parallelizable:* No

*Depends On:*
* BOM-BE-A-04
* BOM-BE-B-01
* BOM-BE-B-03
* BOM-BE-G-01
* BOM-BE-G-03
* BOM-BE-G-08
* BOM-BE-G-12
* BOM-BE-G-13
* BOM-BE-G-17
* IMPRESSION-BE-B-01 — searchImpressionsByProductId data fetcher
* IMPRESSION-BE-G-01 — Impression field resolvers
* PRODUCT-BE-B-01
* PRODUCT-BE-G-01
* PRODUCT-BE-G-02
* PRODUCT-BE-G-03
* PRODUCT-BE-G-06
* PRODUCT-BE-G-07
* PRODUCT-BE-G-08
* PRODUCT-BE-G-09
* PRODUCT-BE-G-10
* PRODUCT-BE-G-13
* PRODUCT-BE-S-01
* PRODUCT-FE-001

*Blocks:*
* None

* *Type:* Query migration · *Impact:* Low · *Domain:* impression
* *Depends on:* BOM-BE-A-04, BOM-BE-B-01, BOM-BE-B-03, BOM-BE-G-01, BOM-BE-G-03, BOM-BE-G-08, BOM-BE-G-12, BOM-BE-G-13, BOM-BE-G-17, IMPRESSION-BE-B-01, IMPRESSION-BE-G-01, PRODUCT-BE-B-01, PRODUCT-BE-G-01, PRODUCT-BE-G-02, PRODUCT-BE-G-03, PRODUCT-BE-G-06, PRODUCT-BE-G-07, PRODUCT-BE-G-08, PRODUCT-BE-G-09, PRODUCT-BE-G-10, PRODUCT-BE-G-13, PRODUCT-BE-S-01, PRODUCT-FE-001
* *Operations:* {{searchImpressionsByProductId}}, {{getProduct}}

* *Business objective:*
** Carry-forward form keeps its combined product + impressions data.
* *Technical objective:*
** Migrate the cross-domain document when both roots are on the router.
* *Required changes:*
** Re-point after PRODUCT-FE-001; sub-type handling as IMPRESSION-FE-001.

*Acceptance Criteria*

1. Carry-forward form renders identically in one request under the flag.

*Testing*

* Carry-forward flow E2E.

* *Risk:* Low.
* *Estimated effort:* 1–2 days

---

## Claims

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
